parmseq,Outcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,selected_final,mlog10p
1, zlep ,823,zLE8_TOTALSCOREinv,,0.43,0.01208945,3879,35.648237,5.00E-241,0.41,0.45,0.05,0.00003418,1,7.61E-238,1,1,240.30103
1, zldlr ,821,zLE8_TOTALSCOREinv,,0.45,0.01453714,3884,30.699119,2.00E-185,0.42,0.47,0.05,0.00003418,1,1.27E-182,1,1,184.69897
1, zfabp4 ,508,zLE8_TOTALSCOREinv,,0.41,0.01382577,3924,29.368308,2.00E-171,0.38,0.43,0.05,0.00003418,1,7.35E-169,1,1,170.69897
1, zplat ,1062,zLE8_TOTALSCOREinv,,0.37,0.01399409,3914,26.685751,3.00E-144,0.35,0.4,0.05,0.00003418,1,1.01E-141,1,1,143.5228787
1, zigfbp2 ,686,zLE8_TOTALSCOREinv,,-0.38,0.01478529,3920,-25.931191,6.00E-137,-0.41,-0.35,0.05,0.00003418,1,1.68E-134,1,1,136.2218487
1, zcdhr2 ,260,zLE8_TOTALSCOREinv,,0.32,0.01252839,3860,25.73551,6.00E-135,0.3,0.35,0.05,0.00003418,1,1.51E-132,1,1,134.2218487
1, zcpm ,345,zLE8_TOTALSCOREinv,,0.37,0.01459981,3896,25.51806,6.00E-133,0.34,0.4,0.05,0.00003418,1,1.24E-130,1,1,132.2218487
1, zacy1 ,13,zLE8_TOTALSCOREinv,,0.35,0.01423794,3879,24.859193,1.00E-126,0.33,0.38,0.05,0.00003418,1,1.91E-124,1,1,126
1, zces1 ,279,zLE8_TOTALSCOREinv,,0.38,0.01520205,3896,24.836155,2.00E-126,0.35,0.41,0.05,0.00003418,1,2.55E-124,1,1,125.69897
1, zrbp5 ,1152,zLE8_TOTALSCOREinv,,0.36,0.01488653,3860,23.961317,2.00E-118,0.33,0.39,0.05,0.00003418,1,3.07E-116,1,1,117.69897
1, zfurin ,566,zLE8_TOTALSCOREinv,,0.36,0.01525476,3888,23.401471,2.00E-113,0.33,0.39,0.05,0.00003418,1,2.70E-111,1,1,112.69897
1, zgusb ,629,zLE8_TOTALSCOREinv,,0.34,0.01448777,3877,23.31989,1.00E-112,0.31,0.37,0.05,0.00003418,1,1.38E-110,1,1,112
1, zrarres2 ,1147,zLE8_TOTALSCOREinv,,0.35,0.01522801,3895,22.936212,3.00E-109,0.32,0.38,0.05,0.00003418,1,2.94E-107,1,1,108.5228787
1, zgsta1 ,625,zLE8_TOTALSCOREinv,,0.34,0.01507597,3861,22.786241,6.00E-108,0.31,0.37,0.05,0.00003418,1,6.42E-106,1,1,107.2218487
1, zf9 ,505,zLE8_TOTALSCOREinv,,0.34,0.01514507,3891,22.749439,1.00E-107,0.31,0.37,0.05,0.00003418,1,1.12E-105,1,1,107
1, zadh4 ,30,zLE8_TOTALSCOREinv,,0.33,0.01485969,3797,22.154628,2.00E-102,0.3,0.36,0.05,0.00003418,1,2.03E-100,1,1,101.69897
1, zpamr1 ,1021,zLE8_TOTALSCOREinv,,0.33,0.01517491,3871,21.958574,8.00E-101,0.3,0.36,0.05,0.00003418,1,6.94E-99,1,1,100.09691
1, zssc4d ,1293,zLE8_TOTALSCOREinv,,0.3,0.01413719,3879,21.559522,1.80E-97,0.28,0.33,0.05,0.00003418,1,1.49E-95,1,1,96.74472749
1, zssc5d ,1294,zLE8_TOTALSCOREinv,,0.33,0.01524079,3891,21.523474,3.50E-97,0.3,0.36,0.05,0.00003418,1,2.72E-95,1,1,96.45593196
1, zhgf ,645,zLE8_TOTALSCOREinv,,0.33,0.01529195,3917,21.486619,6.70E-97,0.3,0.36,0.05,0.00003418,1,4.87E-95,1,1,96.1739252
1, zerbb2 ,492,zLE8_TOTALSCOREinv,,0.31,0.01468372,3888,21.396589,4.10E-96,0.29,0.34,0.05,0.00003418,1,2.85E-94,1,1,95.38721614
1, zadm ,31,zLE8_TOTALSCOREinv,,0.31,0.01463588,3897,21.19288,2.00E-94,0.28,0.34,0.05,0.00003418,1,1.30E-92,1,1,93.69897
1, zprcp ,1092,zLE8_TOTALSCOREinv,,0.32,0.01507885,3880,21.065028,2.30E-93,0.29,0.35,0.05,0.00003418,1,1.48E-91,1,1,92.63827216
1, zil1rn ,726,zLE8_TOTALSCOREinv,,0.33,0.01554636,3868,20.913767,4.20E-92,0.29,0.36,0.05,0.00003418,1,2.56E-90,1,1,91.37675071
1, zasgr1 ,95,zLE8_TOTALSCOREinv,,0.32,0.01530918,3851,20.6791,3.60E-90,0.29,0.35,0.05,0.00003418,1,2.09E-88,1,1,89.4436975
1, zadamts15 ,21,zLE8_TOTALSCOREinv,,0.32,0.01570813,3860,20.517362,7.10E-89,0.29,0.35,0.05,0.00003418,1,3.98E-87,1,1,88.14874165
1, zf7 ,504,zLE8_TOTALSCOREinv,,0.32,0.01551292,3885,20.467394,1.70E-88,0.29,0.35,0.05,0.00003418,1,9.08E-87,1,1,87.76955108
1, zcntn3 ,326,zLE8_TOTALSCOREinv,,0.29,0.01440886,3871,20.43596,3.10E-88,0.27,0.32,0.05,0.00003418,1,1.62E-86,1,1,87.50863831
1, zfgf21 ,536,zLE8_TOTALSCOREinv,,0.32,0.01551287,3895,20.393018,6.50E-88,0.29,0.35,0.05,0.00003418,1,3.26E-86,1,1,87.18708664
1, zggt1 ,594,zLE8_TOTALSCOREinv,,0.3,0.01451444,3866,20.394775,6.70E-88,0.27,0.32,0.05,0.00003418,1,3.28E-86,1,1,87.1739252
1, zinhbc ,750,zLE8_TOTALSCOREinv,,0.31,0.0154351,3871,20.38336,8.20E-88,0.28,0.34,0.05,0.00003418,1,3.87E-86,1,1,87.08618615
1, zgsta3 ,626,zLE8_TOTALSCOREinv,,0.31,0.01568181,3784,19.954562,2.60E-84,0.28,0.34,0.05,0.00003418,1,1.18E-82,1,1,83.58502665
1, zprss8 ,1108,zLE8_TOTALSCOREinv,,0.28,0.01442803,3861,19.167042,2.70E-78,0.25,0.3,0.05,0.00003418,1,1.20E-76,1,1,77.56863624
1, zscly ,1199,zLE8_TOTALSCOREinv,,0.28,0.01502845,3892,18.927259,1.70E-76,0.25,0.31,0.05,0.00003418,1,7.25E-75,1,1,75.76955108
1, ztfpi ,1336,zLE8_TOTALSCOREinv,,0.28,0.01521454,3872,18.731145,5.20E-75,0.26,0.31,0.05,0.00003418,1,2.17E-73,1,1,74.28399666
1, zkrt18 ,801,zLE8_TOTALSCOREinv,,0.28,0.01500652,3860,18.706859,8.10E-75,0.25,0.31,0.05,0.00003418,1,3.28E-73,1,1,74.09151498
1, zoxt ,1013,zLE8_TOTALSCOREinv,,0.29,0.01558537,3915,18.666362,1.50E-74,0.26,0.32,0.05,0.00003418,1,5.80E-73,1,1,73.82390874
1, zdcxr ,414,zLE8_TOTALSCOREinv,,0.27,0.01466283,3888,18.533297,1.50E-73,0.24,0.3,0.05,0.00003418,1,5.79E-72,1,1,72.82390874
1, zkynu ,805,zLE8_TOTALSCOREinv,,0.28,0.01516394,3917,18.351228,3.20E-72,0.25,0.31,0.05,0.00003418,1,1.19E-70,1,1,71.49485002
1, znomo1 ,971,zLE8_TOTALSCOREinv,,0.28,0.01558107,3871,18.156114,9.20E-71,0.25,0.31,0.05,0.00003418,1,3.36E-69,1,1,70.03621217
1, zcol4a1 ,332,zLE8_TOTALSCOREinv,,-0.29,0.01583163,3879,-18.127407,1.50E-70,-0.32,-0.26,0.05,0.00003418,1,5.24E-69,1,1,69.82390874
1, zil18r1 ,716,zLE8_TOTALSCOREinv,,0.28,0.01567195,3917,17.867329,1.10E-68,0.25,0.31,0.05,0.00003418,1,3.68E-67,1,1,67.95860731
1, zsema3f ,1207,zLE8_TOTALSCOREinv,,0.27,0.01541484,3879,17.726143,1.10E-67,0.24,0.3,0.05,0.00003418,1,3.91E-66,1,1,66.95860731
1, zproc ,1104,zLE8_TOTALSCOREinv,,0.28,0.01575714,3891,17.486758,5.70E-66,0.24,0.31,0.05,0.00003418,1,1.85E-64,1,1,65.24412514
1, zigsf3 ,692,zLE8_TOTALSCOREinv,,0.28,0.01579612,3860,17.489204,5.70E-66,0.25,0.31,0.05,0.00003418,1,1.85E-64,1,1,65.24412514
1, zhavcr1 ,637,zLE8_TOTALSCOREinv,,0.25,0.01430379,3894,17.362303,4.20E-65,0.22,0.28,0.05,0.00003418,1,1.35E-63,1,1,64.37675071
1, zitga5 ,761,zLE8_TOTALSCOREinv,,0.27,0.01569461,3871,17.342794,6.00E-65,0.24,0.3,0.05,0.00003418,1,1.87E-63,1,1,64.22184875
1, zfstl3 ,564,zLE8_TOTALSCOREinv,,0.26,0.01521267,3859,17.335125,6.90E-65,0.23,0.29,0.05,0.00003418,1,2.11E-63,1,1,64.16115091
1, zcd99l2 ,248,zLE8_TOTALSCOREinv,,0.27,0.0158332,3871,17.331005,7.30E-65,0.24,0.31,0.05,0.00003418,1,2.17E-63,1,1,64.13667714
1, zctsd ,379,zLE8_TOTALSCOREinv,,0.27,0.01569752,3615,17.211585,7.20E-64,0.24,0.3,0.05,0.00003418,1,2.09E-62,1,1,63.1426675
1, zccl22 ,183,zLE8_TOTALSCOREinv,,0.27,0.01593579,3815,17.123467,2.20E-63,0.24,0.3,0.05,0.00003418,1,6.29E-62,1,1,62.65757732
1, zclmp ,312,zLE8_TOTALSCOREinv,,0.25,0.01487587,3897,17.114447,2.30E-63,0.23,0.28,0.05,0.00003418,1,6.39E-62,1,1,62.63827216
1, zlgals9 ,830,zLE8_TOTALSCOREinv,,0.26,0.01526346,3870,17.037947,8.00E-63,0.23,0.29,0.05,0.00003418,1,2.20E-61,1,1,62.09691001
1, zrtn4r ,1179,zLE8_TOTALSCOREinv,,0.26,0.01549957,3897,17.006962,1.30E-62,0.23,0.29,0.05,0.00003418,1,3.41E-61,1,1,61.88605665
1, zsele ,1204,zLE8_TOTALSCOREinv,,0.27,0.01563612,3924,16.965766,2.30E-62,0.23,0.3,0.05,0.00003418,1,6.23E-61,1,1,61.63827216
1, zcrip2 ,358,zLE8_TOTALSCOREinv,,0.26,0.01514418,3851,16.970386,2.40E-62,0.23,0.29,0.05,0.00003418,1,6.23E-61,1,1,61.61978876
1, zpon3 ,1081,zLE8_TOTALSCOREinv,,-0.26,0.01541503,3886,-16.919977,5.10E-62,-0.29,-0.23,0.05,0.00003418,1,1.30E-60,1,1,61.29242982
1, zlgals1 ,825,zLE8_TOTALSCOREinv,,0.26,0.01557516,3879,16.905198,6.50E-62,0.23,0.29,0.05,0.00003418,1,1.63E-60,1,1,61.18708664
1, zpts ,1132,zLE8_TOTALSCOREinv,,0.26,0.01582461,3770,16.680025,2.50E-60,0.23,0.29,0.05,0.00003418,1,6.28E-59,1,1,59.60205999
1, zigfbp1 ,685,zLE8_TOTALSCOREinv,,-0.25,0.01534563,3921,-16.577304,1.00E-59,-0.28,-0.22,0.05,0.00003418,1,2.56E-58,1,1,59
1, zsmad5 ,1260,zLE8_TOTALSCOREinv,,0.26,0.01569121,3860,16.556606,1.50E-59,0.23,0.29,0.05,0.00003418,1,3.72E-58,1,1,58.82390874
1, zggh ,593,zLE8_TOTALSCOREinv,,0.26,0.01594369,3800,16.539048,2.20E-59,0.23,0.29,0.05,0.00003418,1,5.15E-58,1,1,58.65757732
1, zezr ,500,zLE8_TOTALSCOREinv,,0.26,0.0156979,3915,16.458158,6.70E-59,0.23,0.29,0.05,0.00003418,1,1.55E-57,1,1,58.1739252
1, zmegf9 ,892,zLE8_TOTALSCOREinv,,0.26,0.01586879,3914,16.44647,8.00E-59,0.23,0.29,0.05,0.00003418,1,1.83E-57,1,1,58.09691001
1, zacp5 ,8,zLE8_TOTALSCOREinv,,0.25,0.0152266,3877,16.400244,1.70E-58,0.22,0.28,0.05,0.00003418,1,3.83E-57,1,1,57.76955108
1, zsord ,1273,zLE8_TOTALSCOREinv,,0.25,0.01556595,3889,16.311896,6.50E-58,0.22,0.28,0.05,0.00003418,1,1.45E-56,1,1,57.18708664
1, zlpl ,843,zLE8_TOTALSCOREinv,,-0.23,0.01397622,3879,-16.186145,4.50E-57,-0.25,-0.2,0.05,0.00003418,1,9.83E-56,1,1,56.34678749
1, zangptl2 ,63,zLE8_TOTALSCOREinv,,0.25,0.01576231,3878,16.17577,5.30E-57,0.22,0.29,0.05,0.00003418,1,1.14E-55,1,1,56.27572413
1, zlilra5 ,837,zLE8_TOTALSCOREinv,,0.25,0.01581856,3879,16.108953,1.50E-56,0.22,0.29,0.05,0.00003418,1,3.08E-55,1,1,55.82390874
