#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0050896	Response to stimulus	50	7835	0.34	1.35e-09	9606.ENSP00000013125,9606.ENSP00000188790,9606.ENSP00000233154,9606.ENSP00000243924,9606.ENSP00000249647,9606.ENSP00000262320,9606.ENSP00000263851,9606.ENSP00000264914,9606.ENSP00000265071,9606.ENSP00000265598,9606.ENSP00000266031,9606.ENSP00000269202,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000297785,9606.ENSP00000300026,9606.ENSP00000301838,9606.ENSP00000302111,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000327290,9606.ENSP00000331201,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000361761,9606.ENSP00000370373,9606.ENSP00000389377,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000423602,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000433112,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959	MAP4K5,FAP,NCK2,PI3,SNAP23,AXIN1,IL7,ARSB,CDH6,LAMP3,HYAL1,MEP1B,NTRK2,THY1,KIT,STAT5B,ALDH1A1,PPIB,FADD,MGMT,PCSK9,BCR,DAB2,BAIAP2,MET,ITGA11,HGS,GRAP2,ICOSLG,SIGLEC1,SH2B3,CRKL,WFDC2,FKBP1B,NFATC1,NTF3,DDC,TGFA,ROBO1,PDGFC,DAPP1,ERBIN,IL32,DKK3,FKBP5,YES1,PAK4,FGF21,KITLG,ITGAM
GO:0065009	Regulation of molecular function	33	3085	0.57	3.43e-09	9606.ENSP00000233154,9606.ENSP00000243924,9606.ENSP00000262320,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000265598,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000297785,9606.ENSP00000301838,9606.ENSP00000302111,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000331201,9606.ENSP00000337675,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000361761,9606.ENSP00000370115,9606.ENSP00000370373,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000433112,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959	NCK2,PI3,AXIN1,IL7,FCER2,LAMP3,NTRK2,THY1,KIT,ALDH1A1,FADD,MGMT,PCSK9,BCR,DAB2,MET,HGS,EBAG9,SH2B3,CRKL,WFDC2,SERPINB1,FKBP1B,NTF3,TGFA,ROBO1,PDGFC,ERBIN,IL32,DKK3,FGF21,KITLG,ITGAM
GO:0050790	Regulation of catalytic activity	28	2370	0.61	4.38e-08	9606.ENSP00000233154,9606.ENSP00000243924,9606.ENSP00000262320,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000265598,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000297785,9606.ENSP00000301838,9606.ENSP00000302111,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000331201,9606.ENSP00000337675,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000361761,9606.ENSP00000370115,9606.ENSP00000370373,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000495951,9606.ENSP00000496959	NCK2,PI3,AXIN1,IL7,FCER2,LAMP3,NTRK2,THY1,KIT,ALDH1A1,FADD,MGMT,BCR,DAB2,MET,HGS,EBAG9,SH2B3,CRKL,WFDC2,SERPINB1,FKBP1B,NTF3,TGFA,ROBO1,PDGFC,KITLG,ITGAM
GO:0007166	Cell surface receptor signaling pathway	26	2040	0.64	5.19e-08	9606.ENSP00000233154,9606.ENSP00000262320,9606.ENSP00000263851,9606.ENSP00000265071,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000301838,9606.ENSP00000313391,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000327290,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000433112,9606.ENSP00000462468,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959	NCK2,AXIN1,IL7,CDH6,NTRK2,THY1,KIT,STAT5B,FADD,DAB2,BAIAP2,MET,ITGA11,ICOSLG,SH2B3,CRKL,NTF3,TGFA,ROBO1,PDGFC,ERBIN,DKK3,YES1,FGF21,KITLG,ITGAM
GO:0007169	Transmembrane receptor protein tyrosine kinase signaling pathway	14	425	1.06	5.88e-08	9606.ENSP00000233154,9606.ENSP00000277120,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000471477	NCK2,NTRK2,KIT,STAT5B,BAIAP2,MET,SH2B3,CRKL,NTF3,TGFA,PDGFC,ERBIN,YES1,FGF21
GO:0048583	Regulation of response to stimulus	34	3931	0.48	1.72e-07	9606.ENSP00000188790,9606.ENSP00000233154,9606.ENSP00000262320,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000301838,9606.ENSP00000302111,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000331201,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000370373,9606.ENSP00000389377,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000433112,9606.ENSP00000462468,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959	FAP,NCK2,AXIN1,IL7,FCER2,NTRK2,THY1,KIT,STAT5B,FADD,MGMT,PCSK9,BCR,DAB2,BAIAP2,MET,HGS,GRAP2,ICOSLG,SH2B3,CRKL,FKBP1B,NFATC1,NTF3,TGFA,ROBO1,PDGFC,ERBIN,DKK3,YES1,PAK4,FGF21,KITLG,ITGAM
GO:0048584	Positive regulation of response to stimulus	25	2131	0.61	5.27e-07	9606.ENSP00000233154,9606.ENSP00000262320,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000301838,9606.ENSP00000302111,9606.ENSP00000313391,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000339477,9606.ENSP00000346300,9606.ENSP00000370373,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959	NCK2,AXIN1,IL7,FCER2,NTRK2,THY1,KIT,STAT5B,FADD,MGMT,DAB2,BAIAP2,MET,ICOSLG,CRKL,FKBP1B,NTF3,TGFA,ROBO1,PDGFC,ERBIN,YES1,FGF21,KITLG,ITGAM
GO:0051239	Regulation of multicellular organismal process	28	2749	0.55	5.54e-07	9606.ENSP00000188790,9606.ENSP00000263851,9606.ENSP00000264914,9606.ENSP00000266031,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000297785,9606.ENSP00000300026,9606.ENSP00000301838,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000331201,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000370115,9606.ENSP00000370373,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000495951	FAP,IL7,ARSB,HYAL1,NTRK2,THY1,KIT,STAT5B,ALDH1A1,PPIB,FADD,PCSK9,BCR,DAB2,BAIAP2,MET,HGS,ICOSLG,SH2B3,SERPINB1,FKBP1B,ROBO1,PDGFC,ERBIN,IL32,PAK4,FGF21,KITLG
GO:0007154	Cell communication	37	5165	0.39	1.86e-06	9606.ENSP00000013125,9606.ENSP00000233154,9606.ENSP00000249647,9606.ENSP00000262320,9606.ENSP00000263851,9606.ENSP00000265071,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000301838,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000327290,9606.ENSP00000331201,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000370373,9606.ENSP00000389377,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000423602,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000433112,9606.ENSP00000462468,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959	MAP4K5,NCK2,SNAP23,AXIN1,IL7,CDH6,NTRK2,THY1,KIT,STAT5B,FADD,PCSK9,BCR,DAB2,BAIAP2,MET,ITGA11,HGS,GRAP2,ICOSLG,SH2B3,CRKL,FKBP1B,NFATC1,NTF3,TGFA,ROBO1,PDGFC,DAPP1,ERBIN,IL32,DKK3,YES1,PAK4,FGF21,KITLG,ITGAM
GO:0051716	Cellular response to stimulus	41	6357	0.35	1.86e-06	9606.ENSP00000013125,9606.ENSP00000233154,9606.ENSP00000262320,9606.ENSP00000263851,9606.ENSP00000265071,9606.ENSP00000266031,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000297785,9606.ENSP00000300026,9606.ENSP00000301838,9606.ENSP00000302111,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000327290,9606.ENSP00000331201,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000370373,9606.ENSP00000389377,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000423602,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000433112,9606.ENSP00000462468,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959	MAP4K5,NCK2,AXIN1,IL7,CDH6,HYAL1,NTRK2,THY1,KIT,STAT5B,ALDH1A1,PPIB,FADD,MGMT,PCSK9,BCR,DAB2,BAIAP2,MET,ITGA11,HGS,GRAP2,ICOSLG,SH2B3,CRKL,FKBP1B,NFATC1,NTF3,DDC,TGFA,ROBO1,PDGFC,DAPP1,ERBIN,IL32,DKK3,YES1,PAK4,FGF21,KITLG,ITGAM
