#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005615	Extracellular space	30	3247	0.5	9.41e-07	9606.ENSP00000188790,9606.ENSP00000243924,9606.ENSP00000249647,9606.ENSP00000263593,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000264914,9606.ENSP00000266031,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000297785,9606.ENSP00000300026,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000316338,9606.ENSP00000331201,9606.ENSP00000339477,9606.ENSP00000361761,9606.ENSP00000370115,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000431775,9606.ENSP00000433112,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959	FAP,PI3,SNAP23,SIAE,IL7,FCER2,ARSB,HYAL1,THY1,KIT,ALDH1A1,PPIB,PCSK9,BCR,BAIAP2,HGS,ICOSLG,WFDC2,SERPINB1,NTF3,DDC,TGFA,PDGFC,IL32,DKK3,FKBP5,YES1,FGF21,KITLG,ITGAM
GO:0005576	Extracellular region	33	4175	0.44	1.94e-06	9606.ENSP00000188790,9606.ENSP00000243924,9606.ENSP00000249647,9606.ENSP00000263593,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000264914,9606.ENSP00000266031,9606.ENSP00000269202,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000297785,9606.ENSP00000300026,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000331201,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000361761,9606.ENSP00000370115,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000431775,9606.ENSP00000433112,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959	FAP,PI3,SNAP23,SIAE,IL7,FCER2,ARSB,HYAL1,MEP1B,THY1,KIT,ALDH1A1,PPIB,PCSK9,BCR,BAIAP2,MET,HGS,ICOSLG,SIGLEC1,WFDC2,SERPINB1,NTF3,DDC,TGFA,PDGFC,IL32,DKK3,FKBP5,YES1,FGF21,KITLG,ITGAM
GO:0031982	Vesicle	32	3957	0.45	1.94e-06	9606.ENSP00000233154,9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000262320,9606.ENSP00000263593,9606.ENSP00000264072,9606.ENSP00000264914,9606.ENSP00000265598,9606.ENSP00000266031,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000297785,9606.ENSP00000300026,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000316338,9606.ENSP00000331201,9606.ENSP00000337675,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000361761,9606.ENSP00000370115,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000496959	NCK2,CD93,SNAP23,AXIN1,SIAE,FCER2,ARSB,LAMP3,HYAL1,NTRK2,THY1,KIT,ALDH1A1,PPIB,PCSK9,BCR,DAB2,BAIAP2,HGS,EBAG9,GRAP2,ICOSLG,SIGLEC1,WFDC2,SERPINB1,NTF3,DDC,TGFA,PDGFC,FKBP5,YES1,ITGAM
GO:0009986	Cell surface	15	894	0.76	1.44e-05	9606.ENSP00000188790,9606.ENSP00000246006,9606.ENSP00000264072,9606.ENSP00000264914,9606.ENSP00000265598,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000303208,9606.ENSP00000317272,9606.ENSP00000327290,9606.ENSP00000339477,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000496959	FAP,CD93,FCER2,ARSB,LAMP3,THY1,KIT,PCSK9,MET,ITGA11,ICOSLG,TGFA,ROBO1,PDGFC,ITGAM
GO:0030054	Cell junction	19	2115	0.49	0.0012	9606.ENSP00000188790,9606.ENSP00000233154,9606.ENSP00000249647,9606.ENSP00000265071,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000297785,9606.ENSP00000300026,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000316338,9606.ENSP00000327290,9606.ENSP00000346300,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000469413	FAP,NCK2,SNAP23,CDH6,NTRK2,THY1,KIT,ALDH1A1,PPIB,BCR,DAB2,BAIAP2,ITGA11,CRKL,NTF3,DDC,ERBIN,YES1,PAK4
GO:0030055	Cell-substrate junction	9	426	0.86	0.0012	9606.ENSP00000188790,9606.ENSP00000249647,9606.ENSP00000284240,9606.ENSP00000300026,9606.ENSP00000313391,9606.ENSP00000327290,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000469413	FAP,SNAP23,THY1,PPIB,DAB2,ITGA11,ERBIN,YES1,PAK4
GO:0031410	Cytoplasmic vesicle	21	2482	0.47	0.0012	9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000262320,9606.ENSP00000264914,9606.ENSP00000265598,9606.ENSP00000266031,9606.ENSP00000277120,9606.ENSP00000288135,9606.ENSP00000300026,9606.ENSP00000303208,9606.ENSP00000313391,9606.ENSP00000316338,9606.ENSP00000331201,9606.ENSP00000337675,9606.ENSP00000339186,9606.ENSP00000341141,9606.ENSP00000370115,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000496959	CD93,SNAP23,AXIN1,ARSB,LAMP3,HYAL1,NTRK2,KIT,PPIB,PCSK9,DAB2,BAIAP2,HGS,EBAG9,GRAP2,SIGLEC1,SERPINB1,NTF3,DDC,TGFA,ITGAM
GO:0070062	Extracellular exosome	19	2096	0.5	0.0012	9606.ENSP00000249647,9606.ENSP00000263593,9606.ENSP00000264072,9606.ENSP00000264914,9606.ENSP00000266031,9606.ENSP00000284240,9606.ENSP00000297785,9606.ENSP00000300026,9606.ENSP00000303507,9606.ENSP00000316338,9606.ENSP00000331201,9606.ENSP00000339477,9606.ENSP00000361761,9606.ENSP00000370115,9606.ENSP00000403644,9606.ENSP00000422464,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000496959	SNAP23,SIAE,FCER2,ARSB,HYAL1,THY1,ALDH1A1,PPIB,BCR,BAIAP2,HGS,ICOSLG,WFDC2,SERPINB1,DDC,PDGFC,FKBP5,YES1,ITGAM
GO:0071944	Cell periphery	34	6015	0.29	0.0012	9606.ENSP00000188790,9606.ENSP00000243924,9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000262320,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000265071,9606.ENSP00000265598,9606.ENSP00000269202,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000301838,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000327290,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000370115,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000423602,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000495951,9606.ENSP00000496959	FAP,PI3,CD93,SNAP23,AXIN1,IL7,FCER2,CDH6,LAMP3,MEP1B,NTRK2,THY1,KIT,FADD,PCSK9,BCR,DAB2,BAIAP2,MET,ITGA11,GRAP2,ICOSLG,SIGLEC1,SH2B3,CRKL,SERPINB1,TGFA,ROBO1,PDGFC,DAPP1,ERBIN,YES1,KITLG,ITGAM
GO:0005886	Plasma membrane	32	5544	0.3	0.0013	9606.ENSP00000188790,9606.ENSP00000243924,9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000262320,9606.ENSP00000264072,9606.ENSP00000265071,9606.ENSP00000265598,9606.ENSP00000269202,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000301838,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000327290,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000423602,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000495951,9606.ENSP00000496959	FAP,PI3,CD93,SNAP23,AXIN1,FCER2,CDH6,LAMP3,MEP1B,NTRK2,THY1,KIT,FADD,PCSK9,BCR,DAB2,BAIAP2,MET,ITGA11,GRAP2,ICOSLG,SIGLEC1,SH2B3,CRKL,TGFA,ROBO1,PDGFC,DAPP1,ERBIN,YES1,KITLG,ITGAM
