#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005576	Extracellular region	45	4175	0.48	0.79	2.21e-11	9606.ENSP00000188790,9606.ENSP00000219345,9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000243924,9606.ENSP00000249647,9606.ENSP00000252809,9606.ENSP00000263593,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000264914,9606.ENSP00000266031,9606.ENSP00000267814,9606.ENSP00000269202,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000297785,9606.ENSP00000302234,9606.ENSP00000302324,9606.ENSP00000303208,9606.ENSP00000303356,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000321326,9606.ENSP00000331201,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000361761,9606.ENSP00000362711,9606.ENSP00000370115,9606.ENSP00000378365,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000422464,9606.ENSP00000431775,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000499459	FAP,PLA2G15,CSF3,CCL2,PI3,SNAP23,GDF15,SIAE,IL7,FCER2,ARSB,HYAL1,SORD,MEP1B,THY1,KIT,ALDH1A1,CCL11,RNASE3,PCSK9,DCXR,BCR,GP6,BAIAP2,MET,F2R,HGS,ICOSLG,SIGLEC1,WFDC2,TXLNA,SERPINB1,CCL26,NTF3,DDC,TGFA,RARRES2,PDGFC,IL32,FKBP5,YES1,FGF21,KITLG,ITGAM,IL19
GO:0005615	Extracellular space	40	3247	0.54	0.87	2.21e-11	9606.ENSP00000188790,9606.ENSP00000219345,9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000243924,9606.ENSP00000249647,9606.ENSP00000252809,9606.ENSP00000263593,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000264914,9606.ENSP00000266031,9606.ENSP00000267814,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000297785,9606.ENSP00000302234,9606.ENSP00000302324,9606.ENSP00000303208,9606.ENSP00000303356,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000316338,9606.ENSP00000331201,9606.ENSP00000339477,9606.ENSP00000361761,9606.ENSP00000370115,9606.ENSP00000378365,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000422464,9606.ENSP00000431775,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000499459	FAP,PLA2G15,CSF3,CCL2,PI3,SNAP23,GDF15,SIAE,IL7,FCER2,ARSB,HYAL1,SORD,THY1,KIT,ALDH1A1,CCL11,RNASE3,PCSK9,DCXR,BCR,GP6,BAIAP2,HGS,ICOSLG,WFDC2,SERPINB1,CCL26,NTF3,DDC,TGFA,RARRES2,PDGFC,IL32,FKBP5,YES1,FGF21,KITLG,ITGAM,IL19
GO:0031982	Vesicle	39	3957	0.44	0.67	4.17e-08	9606.ENSP00000219345,9606.ENSP00000225474,9606.ENSP00000233154,9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000252809,9606.ENSP00000263593,9606.ENSP00000264072,9606.ENSP00000264914,9606.ENSP00000265598,9606.ENSP00000266031,9606.ENSP00000267814,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000297785,9606.ENSP00000302324,9606.ENSP00000303208,9606.ENSP00000303356,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000316338,9606.ENSP00000321326,9606.ENSP00000331201,9606.ENSP00000337675,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000361761,9606.ENSP00000370115,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000422464,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000496959	PLA2G15,CSF3,NCK2,CD93,SNAP23,GDF15,SIAE,FCER2,ARSB,LAMP3,HYAL1,SORD,ERBB2,NTRK2,THY1,KIT,ALDH1A1,RNASE3,PCSK9,DCXR,BCR,GP6,BAIAP2,F2R,HGS,EBAG9,GRAP2,ICOSLG,SIGLEC1,WFDC2,SERPINB1,NTF3,DDC,TGFA,RARRES2,PDGFC,FKBP5,YES1,ITGAM
GO:0009986	Cell surface	18	894	0.75	0.97	9.31e-07	9606.ENSP00000188790,9606.ENSP00000246006,9606.ENSP00000264072,9606.ENSP00000264914,9606.ENSP00000265598,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000303208,9606.ENSP00000308782,9606.ENSP00000317272,9606.ENSP00000321326,9606.ENSP00000327290,9606.ENSP00000339477,9606.ENSP00000366091,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000496959	FAP,CD93,FCER2,ARSB,LAMP3,THY1,KIT,PCSK9,GP6,MET,F2R,ITGA11,ICOSLG,MOG,TGFA,ROBO1,PDGFC,ITGAM
GO:0070062	Extracellular exosome	23	2096	0.49	0.56	0.00021	9606.ENSP00000219345,9606.ENSP00000249647,9606.ENSP00000252809,9606.ENSP00000263593,9606.ENSP00000264072,9606.ENSP00000264914,9606.ENSP00000266031,9606.ENSP00000267814,9606.ENSP00000284240,9606.ENSP00000297785,9606.ENSP00000303356,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000316338,9606.ENSP00000331201,9606.ENSP00000339477,9606.ENSP00000361761,9606.ENSP00000370115,9606.ENSP00000403644,9606.ENSP00000422464,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000496959	PLA2G15,SNAP23,GDF15,SIAE,FCER2,ARSB,HYAL1,SORD,THY1,ALDH1A1,DCXR,BCR,GP6,BAIAP2,HGS,ICOSLG,WFDC2,SERPINB1,DDC,PDGFC,FKBP5,YES1,ITGAM
GO:0071944	Cell periphery	41	6015	0.28	0.41	0.00027	9606.ENSP00000188790,9606.ENSP00000243924,9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000265052,9606.ENSP00000265598,9606.ENSP00000269202,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000303208,9606.ENSP00000303356,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000321326,9606.ENSP00000327290,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000366091,9606.ENSP00000367001,9606.ENSP00000370115,9606.ENSP00000378845,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000423602,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000497720	FAP,PI3,CD93,SNAP23,IL7,FCER2,MGLL,LAMP3,MEP1B,ERBB2,NTRK2,THY1,KIT,PCSK9,DCXR,BCR,GP6,BAIAP2,MET,HCLS1,F2R,ITGA11,GRAP2,ICOSLG,SIGLEC1,SH2B3,CRKL,MOG,DPP6,SERPINB1,LAT,TGFA,RARRES2,ROBO1,PDGFC,DAPP1,ERBIN,YES1,KITLG,ITGAM,MPIG6B
GO:0005886	Plasma membrane	38	5544	0.29	0.39	0.00083	9606.ENSP00000188790,9606.ENSP00000243924,9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000264072,9606.ENSP00000265052,9606.ENSP00000265598,9606.ENSP00000269202,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000303208,9606.ENSP00000303356,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000321326,9606.ENSP00000327290,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000366091,9606.ENSP00000367001,9606.ENSP00000378845,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000423602,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000497720	FAP,PI3,CD93,SNAP23,FCER2,MGLL,LAMP3,MEP1B,ERBB2,NTRK2,THY1,KIT,PCSK9,DCXR,BCR,GP6,BAIAP2,MET,HCLS1,F2R,ITGA11,GRAP2,ICOSLG,SIGLEC1,SH2B3,CRKL,MOG,DPP6,LAT,TGFA,ROBO1,PDGFC,DAPP1,ERBIN,YES1,KITLG,ITGAM,MPIG6B
GO:0031410	Cytoplasmic vesicle	23	2482	0.42	0.44	0.0018	9606.ENSP00000225474,9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000264914,9606.ENSP00000265598,9606.ENSP00000266031,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000288135,9606.ENSP00000302324,9606.ENSP00000303208,9606.ENSP00000316338,9606.ENSP00000321326,9606.ENSP00000331201,9606.ENSP00000337675,9606.ENSP00000339186,9606.ENSP00000341141,9606.ENSP00000370115,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000496959	CSF3,CD93,SNAP23,ARSB,LAMP3,HYAL1,ERBB2,NTRK2,KIT,RNASE3,PCSK9,BAIAP2,F2R,HGS,EBAG9,GRAP2,SIGLEC1,SERPINB1,NTF3,DDC,TGFA,RARRES2,ITGAM
GO:0012505	Endomembrane system	32	4721	0.28	0.33	0.0093	9606.ENSP00000233154,9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000252809,9606.ENSP00000264914,9606.ENSP00000265052,9606.ENSP00000265598,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000302324,9606.ENSP00000303208,9606.ENSP00000316338,9606.ENSP00000321326,9606.ENSP00000331201,9606.ENSP00000337675,9606.ENSP00000339186,9606.ENSP00000341141,9606.ENSP00000356436,9606.ENSP00000370115,9606.ENSP00000378845,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000469413,9606.ENSP00000496959,9606.ENSP00000497720	NCK2,CD93,SNAP23,GDF15,ARSB,MGLL,LAMP3,ERBB2,NTRK2,THY1,KIT,RNASE3,PCSK9,BAIAP2,F2R,HGS,EBAG9,GRAP2,SIGLEC1,PLA2G4A,SERPINB1,LAT,NTF3,DDC,TGFA,RARRES2,PDGFC,ERBIN,YES1,PAK4,ITGAM,MPIG6B
GO:0005764	Lysosome	11	746	0.62	0.45	0.0097	9606.ENSP00000219345,9606.ENSP00000225474,9606.ENSP00000249647,9606.ENSP00000263593,9606.ENSP00000264914,9606.ENSP00000265598,9606.ENSP00000266031,9606.ENSP00000302324,9606.ENSP00000303208,9606.ENSP00000331201,9606.ENSP00000370115	PLA2G15,CSF3,SNAP23,SIAE,ARSB,LAMP3,HYAL1,RNASE3,PCSK9,HGS,SERPINB1
GO:0009897	External side of plasma membrane	8	388	0.76	0.49	0.0099	9606.ENSP00000264072,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000303208,9606.ENSP00000327290,9606.ENSP00000339477,9606.ENSP00000366091,9606.ENSP00000496959	FCER2,THY1,KIT,PCSK9,ITGA11,ICOSLG,MOG,ITGAM
GO:0099503	Secretory vesicle	13	1047	0.54	0.42	0.0099	9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000264914,9606.ENSP00000265598,9606.ENSP00000288135,9606.ENSP00000302324,9606.ENSP00000316338,9606.ENSP00000337675,9606.ENSP00000370115,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000418009,9606.ENSP00000496959	CD93,SNAP23,ARSB,LAMP3,KIT,RNASE3,BAIAP2,EBAG9,SERPINB1,NTF3,DDC,RARRES2,ITGAM
GO:0005769	Early endosome	8	411	0.74	0.46	0.0130	9606.ENSP00000265598,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000303208,9606.ENSP00000321326,9606.ENSP00000331201,9606.ENSP00000341141,9606.ENSP00000370115	LAMP3,ERBB2,NTRK2,PCSK9,F2R,HGS,SIGLEC1,SERPINB1
GO:0016020	Membrane	49	9523	0.16	0.26	0.0210	9606.ENSP00000188790,9606.ENSP00000219345,9606.ENSP00000233154,9606.ENSP00000243924,9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000264072,9606.ENSP00000265052,9606.ENSP00000265598,9606.ENSP00000267814,9606.ENSP00000269202,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000303208,9606.ENSP00000303356,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000321326,9606.ENSP00000327290,9606.ENSP00000331201,9606.ENSP00000337675,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000356436,9606.ENSP00000362711,9606.ENSP00000366091,9606.ENSP00000367001,9606.ENSP00000370115,9606.ENSP00000378845,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000423602,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000483786,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000497720	FAP,PLA2G15,NCK2,PI3,CD93,SNAP23,FCER2,MGLL,LAMP3,SORD,MEP1B,ERBB2,NTRK2,THY1,KIT,PCSK9,DCXR,BCR,GP6,BAIAP2,MET,HCLS1,F2R,ITGA11,HGS,EBAG9,GRAP2,ICOSLG,SIGLEC1,SH2B3,CRKL,PLA2G4A,TXLNA,MOG,DPP6,SERPINB1,LAT,TGFA,ROBO1,PDGFC,DAPP1,ERBIN,IL32,FKBP5,YES1,HPCAL1,KITLG,ITGAM,MPIG6B
GO:0030141	Secretory granule	11	873	0.55	0.36	0.0253	9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000264914,9606.ENSP00000265598,9606.ENSP00000288135,9606.ENSP00000302324,9606.ENSP00000316338,9606.ENSP00000337675,9606.ENSP00000370115,9606.ENSP00000418009,9606.ENSP00000496959	CD93,SNAP23,ARSB,LAMP3,KIT,RNASE3,BAIAP2,EBAG9,SERPINB1,RARRES2,ITGAM
GO:0098552	Side of membrane	9	611	0.62	0.37	0.0304	9606.ENSP00000264072,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000303208,9606.ENSP00000327290,9606.ENSP00000339477,9606.ENSP00000366091,9606.ENSP00000462468,9606.ENSP00000496959	FCER2,THY1,KIT,PCSK9,ITGA11,ICOSLG,MOG,YES1,ITGAM
GO:0030054	Cell junction	18	2115	0.38	0.31	0.0307	9606.ENSP00000188790,9606.ENSP00000233154,9606.ENSP00000249647,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000297785,9606.ENSP00000303507,9606.ENSP00000316338,9606.ENSP00000321326,9606.ENSP00000327290,9606.ENSP00000346300,9606.ENSP00000378845,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000469413	FAP,NCK2,SNAP23,NTRK2,THY1,KIT,ALDH1A1,BCR,BAIAP2,F2R,ITGA11,CRKL,LAT,NTF3,DDC,ERBIN,YES1,PAK4
