#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04010	MAPK signaling pathway	10	286	1.08	3.82e-06	9606.ENSP00000277120,9606.ENSP00000288135,9606.ENSP00000317272,9606.ENSP00000346300,9606.ENSP00000389377,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000471477,9606.ENSP00000495951	NTRK2,KIT,MET,CRKL,NFATC1,NTF3,TGFA,PDGFC,FGF21,KITLG
hsa04014	Ras signaling pathway	9	225	1.14	3.82e-06	9606.ENSP00000277120,9606.ENSP00000288135,9606.ENSP00000317272,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000495951	NTRK2,KIT,MET,NTF3,TGFA,PDGFC,PAK4,FGF21,KITLG
hsa04151	PI3K-Akt signaling pathway	10	349	1.0	7.85e-06	9606.ENSP00000263851,9606.ENSP00000277120,9606.ENSP00000288135,9606.ENSP00000317272,9606.ENSP00000327290,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000471477,9606.ENSP00000495951	IL7,NTRK2,KIT,MET,ITGA11,NTF3,TGFA,PDGFC,FGF21,KITLG
hsa05200	Pathways in cancer	11	515	0.87	2.20e-05	9606.ENSP00000262320,9606.ENSP00000263851,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000301838,9606.ENSP00000303507,9606.ENSP00000317272,9606.ENSP00000346300,9606.ENSP00000404131,9606.ENSP00000471477,9606.ENSP00000495951	AXIN1,IL7,KIT,STAT5B,FADD,BCR,MET,CRKL,TGFA,FGF21,KITLG
hsa04015	Rap1 signaling pathway	7	201	1.08	0.00015	9606.ENSP00000288135,9606.ENSP00000317272,9606.ENSP00000346300,9606.ENSP00000422464,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959	KIT,MET,CRKL,PDGFC,FGF21,KITLG,ITGAM
hsa04810	Regulation of actin cytoskeleton	7	209	1.06	0.00016	9606.ENSP00000316338,9606.ENSP00000327290,9606.ENSP00000346300,9606.ENSP00000422464,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000496959	BAIAP2,ITGA11,CRKL,PDGFC,PAK4,FGF21,ITGAM
hsa04012	ErbB signaling pathway	5	81	1.33	0.00023	9606.ENSP00000233154,9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000404131,9606.ENSP00000469413	NCK2,STAT5B,CRKL,TGFA,PAK4
hsa04640	Hematopoietic cell lineage	5	90	1.28	0.00033	9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000288135,9606.ENSP00000495951,9606.ENSP00000496959	IL7,FCER2,KIT,KITLG,ITGAM
hsa05211	Renal cell carcinoma	4	65	1.33	0.0017	9606.ENSP00000317272,9606.ENSP00000346300,9606.ENSP00000404131,9606.ENSP00000469413	MET,CRKL,TGFA,PAK4
hsa04660	T cell receptor signaling pathway	4	100	1.14	0.0078	9606.ENSP00000233154,9606.ENSP00000339186,9606.ENSP00000389377,9606.ENSP00000469413	NCK2,GRAP2,NFATC1,PAK4
hsa04510	Focal adhesion	5	195	0.95	0.0084	9606.ENSP00000317272,9606.ENSP00000327290,9606.ENSP00000346300,9606.ENSP00000422464,9606.ENSP00000469413	MET,ITGA11,CRKL,PDGFC,PAK4
hsa04722	Neurotrophin signaling pathway	4	112	1.09	0.0098	9606.ENSP00000277120,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000397297	NTRK2,SH2B3,CRKL,NTF3
hsa04520	Adherens junction	3	69	1.18	0.0281	9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000462468	BAIAP2,MET,YES1
hsa05218	Melanoma	3	72	1.16	0.0281	9606.ENSP00000317272,9606.ENSP00000422464,9606.ENSP00000471477	MET,PDGFC,FGF21
hsa05221	Acute myeloid leukemia	3	67	1.19	0.0281	9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000496959	KIT,STAT5B,ITGAM
hsa05223	Non-small cell lung cancer	3	68	1.18	0.0281	9606.ENSP00000293328,9606.ENSP00000317272,9606.ENSP00000404131	STAT5B,MET,TGFA
hsa05220	Chronic myeloid leukemia	3	75	1.14	0.0294	9606.ENSP00000293328,9606.ENSP00000303507,9606.ENSP00000346300	STAT5B,BCR,CRKL
hsa00531	Glycosaminoglycan degradation	2	19	1.56	0.0298	9606.ENSP00000264914,9606.ENSP00000266031	ARSB,HYAL1
hsa01521	EGFR tyrosine kinase inhibitor resistance	3	77	1.13	0.0298	9606.ENSP00000317272,9606.ENSP00000404131,9606.ENSP00000422464	MET,TGFA,PDGFC
hsa04360	Axon guidance	4	176	0.9	0.0304	9606.ENSP00000233154,9606.ENSP00000317272,9606.ENSP00000420321,9606.ENSP00000469413	NCK2,MET,ROBO1,PAK4
hsa05170	Human immunodeficiency virus 1 infection	4	203	0.83	0.0480	9606.ENSP00000301838,9606.ENSP00000346300,9606.ENSP00000389377,9606.ENSP00000469413	FADD,CRKL,NFATC1,PAK4
