#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005576	Extracellular region	37	4175	0.53	1.37e-11	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000220478,9606.ENSP00000220809,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000243924,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000288135,9606.ENSP00000289746,9606.ENSP00000294312,9606.ENSP00000308716,9606.ENSP00000312652,9606.ENSP00000317272,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000347714,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000375616,9606.ENSP00000378118,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000404236,9606.ENSP00000414378,9606.ENSP00000436423,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000471477,9606.ENSP00000498879,9606.ENSP00000499459	SEMA3F,TNFRSF1A,OSM,OXT,SCG3,PLAT,COMP,HGF,PI3,FABP4,IL1RN,KIT,CDH15,FGF19,INHBC,LEP,MET,LEPR,BSG,ICOSLG,SIGLEC1,FCAR,CD163,PLXNB2,FASLG,LILRB4,CCL8,NPY,IL6,LILRA5,EFNA4,GNLY,ADM,PGF,FGF21,CD59,IL19
GO:0005615	Extracellular space	30	3247	0.55	1.09e-08	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000243924,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000288135,9606.ENSP00000289746,9606.ENSP00000294312,9606.ENSP00000308716,9606.ENSP00000312652,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000375616,9606.ENSP00000378118,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000404236,9606.ENSP00000436423,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000471477,9606.ENSP00000498879,9606.ENSP00000499459	SEMA3F,TNFRSF1A,OSM,OXT,PLAT,COMP,HGF,PI3,FABP4,IL1RN,KIT,CDH15,FGF19,INHBC,LEP,BSG,ICOSLG,PLXNB2,FASLG,LILRB4,CCL8,NPY,IL6,LILRA5,GNLY,ADM,PGF,FGF21,CD59,IL19
GO:0009986	Cell surface	15	894	0.81	3.61e-06	9606.ENSP00000162749,9606.ENSP00000220809,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000317272,9606.ENSP00000330393,9606.ENSP00000339477,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000366091,9606.ENSP00000375616,9606.ENSP00000404236,9606.ENSP00000420298,9606.ENSP00000498879	TNFRSF1A,PLAT,TNFRSF10B,KIT,MET,LEPR,ICOSLG,CD163,PLXNB2,FASLG,MOG,LILRB4,LILRA5,CD200,CD59
GO:0031226	Intrinsic component of plasma membrane	18	1788	0.59	0.00014	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000275815,9606.ENSP00000288135,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000333769,9606.ENSP00000347714,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000367001,9606.ENSP00000375616,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000414378,9606.ENSP00000420298,9606.ENSP00000498879	SEMA3F,TNFRSF1A,EPHA1,KIT,MET,IFNLR1,BSG,FCAR,CD163,PLXNB2,FASLG,DPP6,LILRB4,IL6,IL18R1,EFNA4,CD200,CD59
GO:0043235	Receptor complex	9	418	0.92	0.00053	9606.ENSP00000162749,9606.ENSP00000275815,9606.ENSP00000288135,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000352288,9606.ENSP00000385675,9606.ENSP00000387211	TNFRSF1A,EPHA1,KIT,MET,IFNLR1,LEPR,PLXNB2,IL6,IL18R1
GO:0005887	Integral component of plasma membrane	16	1706	0.56	0.0013	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000275815,9606.ENSP00000288135,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000333769,9606.ENSP00000347714,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000367001,9606.ENSP00000375616,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000420298	SEMA3F,TNFRSF1A,EPHA1,KIT,MET,IFNLR1,BSG,FCAR,CD163,PLXNB2,FASLG,DPP6,LILRB4,IL6,IL18R1,CD200
GO:0031224	Intrinsic component of membrane	31	5828	0.31	0.0013	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000221891,9606.ENSP00000248933,9606.ENSP00000275815,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000289746,9606.ENSP00000300055,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000347714,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000355995,9606.ENSP00000356694,9606.ENSP00000363869,9606.ENSP00000366091,9606.ENSP00000367001,9606.ENSP00000375616,9606.ENSP00000375622,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000404236,9606.ENSP00000414378,9606.ENSP00000420298,9606.ENSP00000498879	SEMA3F,TNFRSF1A,APLP1,SEZ6L,EPHA1,TNFRSF10B,KIT,CDH15,PLIN1,MET,IFNLR1,LEPR,BSG,ICOSLG,SIGLEC1,FCAR,CD163,PLXNB2,HSD11B1,FASLG,VSIG4,MOG,DPP6,LILRB4,LAIR1,IL6,IL18R1,LILRA5,EFNA4,CD200,CD59
GO:0005886	Plasma membrane	29	5544	0.31	0.0043	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000221891,9606.ENSP00000243924,9606.ENSP00000259206,9606.ENSP00000275815,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000289746,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000347714,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000366091,9606.ENSP00000367001,9606.ENSP00000375616,9606.ENSP00000375622,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000404236,9606.ENSP00000414378,9606.ENSP00000420298,9606.ENSP00000498879	SEMA3F,TNFRSF1A,APLP1,PI3,IL1RN,EPHA1,TNFRSF10B,KIT,CDH15,MET,IFNLR1,LEPR,BSG,ICOSLG,SIGLEC1,FCAR,CD163,PLXNB2,FASLG,MOG,DPP6,LILRB4,LAIR1,IL6,IL18R1,LILRA5,EFNA4,CD200,CD59
GO:0016021	Integral component of membrane	29	5670	0.3	0.0060	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000221891,9606.ENSP00000248933,9606.ENSP00000275815,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000289746,9606.ENSP00000300055,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000347714,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000355995,9606.ENSP00000356694,9606.ENSP00000363869,9606.ENSP00000366091,9606.ENSP00000367001,9606.ENSP00000375616,9606.ENSP00000375622,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000404236,9606.ENSP00000420298	SEMA3F,TNFRSF1A,APLP1,SEZ6L,EPHA1,TNFRSF10B,KIT,CDH15,PLIN1,MET,IFNLR1,LEPR,BSG,ICOSLG,SIGLEC1,FCAR,CD163,PLXNB2,HSD11B1,FASLG,VSIG4,MOG,DPP6,LILRB4,LAIR1,IL6,IL18R1,LILRA5,CD200
GO:0071944	Cell periphery	30	6015	0.28	0.0060	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000221891,9606.ENSP00000222271,9606.ENSP00000243924,9606.ENSP00000259206,9606.ENSP00000275815,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000289746,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000347714,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000366091,9606.ENSP00000367001,9606.ENSP00000375616,9606.ENSP00000375622,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000404236,9606.ENSP00000414378,9606.ENSP00000420298,9606.ENSP00000498879	SEMA3F,TNFRSF1A,APLP1,COMP,PI3,IL1RN,EPHA1,TNFRSF10B,KIT,CDH15,MET,IFNLR1,LEPR,BSG,ICOSLG,SIGLEC1,FCAR,CD163,PLXNB2,FASLG,MOG,DPP6,LILRB4,LAIR1,IL6,IL18R1,LILRA5,EFNA4,CD200,CD59
