#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04060	Cytokine-cytokine receptor interaction	13	282	1.25	1.36e-10	9606.ENSP00000162749,9606.ENSP00000215781,9606.ENSP00000259206,9606.ENSP00000276431,9606.ENSP00000308716,9606.ENSP00000312652,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000356694,9606.ENSP00000378118,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000499459	TNFRSF1A,OSM,IL1RN,TNFRSF10B,INHBC,LEP,IFNLR1,LEPR,FASLG,CCL8,IL6,IL18R1,IL19
hsa04151	PI3K-Akt signaling pathway	11	349	1.09	2.64e-07	9606.ENSP00000215781,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000317272,9606.ENSP00000356694,9606.ENSP00000385675,9606.ENSP00000414378,9606.ENSP00000451040,9606.ENSP00000471477	OSM,COMP,HGF,KIT,FGF19,MET,FASLG,IL6,EFNA4,PGF,FGF21
hsa04010	MAPK signaling pathway	9	286	1.08	6.44e-06	9606.ENSP00000162749,9606.ENSP00000222390,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000317272,9606.ENSP00000356694,9606.ENSP00000414378,9606.ENSP00000451040,9606.ENSP00000471477	TNFRSF1A,HGF,KIT,FGF19,MET,FASLG,EFNA4,PGF,FGF21
hsa04014	Ras signaling pathway	8	225	1.14	1.15e-05	9606.ENSP00000222390,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000317272,9606.ENSP00000356694,9606.ENSP00000414378,9606.ENSP00000451040,9606.ENSP00000471477	HGF,KIT,FGF19,MET,FASLG,EFNA4,PGF,FGF21
hsa04061	Viral protein interaction with cytokine and cytokine receptor	6	96	1.38	1.64e-05	9606.ENSP00000162749,9606.ENSP00000276431,9606.ENSP00000378118,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000499459	TNFRSF1A,TNFRSF10B,CCL8,IL6,IL18R1,IL19
hsa04015	Rap1 signaling pathway	7	201	1.13	5.69e-05	9606.ENSP00000222390,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000317272,9606.ENSP00000414378,9606.ENSP00000451040,9606.ENSP00000471477	HGF,KIT,FGF19,MET,EFNA4,PGF,FGF21
hsa04630	JAK-STAT signaling pathway	6	158	1.17	0.00019	9606.ENSP00000215781,9606.ENSP00000312652,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000385675,9606.ENSP00000499459	OSM,LEP,IFNLR1,LEPR,IL6,IL19
hsa05144	Malaria	4	46	1.53	0.00035	9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000317272,9606.ENSP00000385675	COMP,HGF,MET,IL6
hsa04920	Adipocytokine signaling pathway	4	68	1.36	0.0013	9606.ENSP00000162749,9606.ENSP00000312652,9606.ENSP00000330393,9606.ENSP00000384364	TNFRSF1A,LEP,LEPR,NPY
hsa04932	Non-alcoholic fatty liver disease	5	146	1.12	0.0015	9606.ENSP00000162749,9606.ENSP00000312652,9606.ENSP00000330393,9606.ENSP00000356694,9606.ENSP00000385675	TNFRSF1A,LEP,LEPR,FASLG,IL6
hsa05200	Pathways in cancer	8	515	0.78	0.0015	9606.ENSP00000222390,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000317272,9606.ENSP00000356694,9606.ENSP00000385675,9606.ENSP00000451040,9606.ENSP00000471477	HGF,KIT,FGF19,MET,FASLG,IL6,PGF,FGF21
hsa05218	Melanoma	4	72	1.33	0.0015	9606.ENSP00000222390,9606.ENSP00000294312,9606.ENSP00000317272,9606.ENSP00000471477	HGF,FGF19,MET,FGF21
hsa04360	Axon guidance	5	176	1.04	0.0026	9606.ENSP00000002829,9606.ENSP00000275815,9606.ENSP00000317272,9606.ENSP00000352288,9606.ENSP00000414378	SEMA3F,EPHA1,MET,PLXNB2,EFNA4
hsa04923	Regulation of lipolysis in adipocytes	3	54	1.33	0.0103	9606.ENSP00000256104,9606.ENSP00000300055,9606.ENSP00000384364	FABP4,PLIN1,NPY
hsa05226	Gastric cancer	4	146	1.02	0.0136	9606.ENSP00000222390,9606.ENSP00000294312,9606.ENSP00000317272,9606.ENSP00000471477	HGF,FGF19,MET,FGF21
hsa05164	Influenza A	4	163	0.98	0.0190	9606.ENSP00000162749,9606.ENSP00000276431,9606.ENSP00000356694,9606.ENSP00000385675	TNFRSF1A,TNFRSF10B,FASLG,IL6
hsa01521	EGFR tyrosine kinase inhibitor resistance	3	77	1.18	0.0229	9606.ENSP00000222390,9606.ENSP00000317272,9606.ENSP00000385675	HGF,MET,IL6
hsa04610	Complement and coagulation cascades	3	82	1.15	0.0258	9606.ENSP00000220809,9606.ENSP00000363869,9606.ENSP00000498879	PLAT,VSIG4,CD59
hsa05130	Pathogenic Escherichia coli infection	4	187	0.92	0.0263	9606.ENSP00000162749,9606.ENSP00000276431,9606.ENSP00000356694,9606.ENSP00000385675	TNFRSF1A,TNFRSF10B,FASLG,IL6
hsa04080	Neuroactive ligand-receptor interaction	5	329	0.77	0.0280	9606.ENSP00000217386,9606.ENSP00000312652,9606.ENSP00000330393,9606.ENSP00000384364,9606.ENSP00000436607	OXT,LEP,LEPR,NPY,ADM
hsa04510	Focal adhesion	4	195	0.9	0.0280	9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000317272,9606.ENSP00000451040	COMP,HGF,MET,PGF
hsa04640	Hematopoietic cell lineage	3	90	1.11	0.0280	9606.ENSP00000288135,9606.ENSP00000385675,9606.ENSP00000498879	KIT,IL6,CD59
hsa05142	Chagas disease	3	97	1.08	0.0321	9606.ENSP00000162749,9606.ENSP00000356694,9606.ENSP00000385675	TNFRSF1A,FASLG,IL6
hsa04668	TNF signaling pathway	3	111	1.02	0.0446	9606.ENSP00000162749,9606.ENSP00000385675,9606.ENSP00000387211	TNFRSF1A,IL6,IL18R1
