#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005576	Extracellular region	55	4175	0.58	1.06	1.36e-21	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000166139,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000220478,9606.ENSP00000220809,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000243924,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000295550,9606.ENSP00000301873,9606.ENSP00000306864,9606.ENSP00000308716,9606.ENSP00000309096,9606.ENSP00000311184,9606.ENSP00000312652,9606.ENSP00000317272,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000339730,9606.ENSP00000341141,9606.ENSP00000346839,9606.ENSP00000347714,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000352455,9606.ENSP00000356694,9606.ENSP00000356791,9606.ENSP00000361112,9606.ENSP00000363827,9606.ENSP00000371770,9606.ENSP00000375616,9606.ENSP00000378058,9606.ENSP00000378118,9606.ENSP00000379438,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000414378,9606.ENSP00000417185,9606.ENSP00000436423,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000498879,9606.ENSP00000499459	SEMA3F,TNFRSF1A,FSTL3,OSM,OXT,SCG3,PLAT,COMP,HGF,PI3,FABP4,IL1RN,CCN3,MSTN,IL1B,KIT,FGF19,COL6A3,LTBP3,VASN,INHBC,B4GAT1,WFIKKN2,LEP,MET,LEPR,BSG,ICOSLG,THBS4,SIGLEC1,FN1,FCAR,CD163,PLXNB2,MFAP5,FASLG,DPT,CHRDL1,HSPG2,FGFBP1,LILRB4,EFEMP1,CCL8,UMOD,NPY,IL6,TNF,IL10,EFNA4,VWA1,GNLY,ADM,PGF,CD59,IL19
GO:0005615	Extracellular space	45	3247	0.6	1.05	2.52e-16	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000166139,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000243924,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000295550,9606.ENSP00000301873,9606.ENSP00000306864,9606.ENSP00000308716,9606.ENSP00000309096,9606.ENSP00000311184,9606.ENSP00000312652,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000356791,9606.ENSP00000363827,9606.ENSP00000371770,9606.ENSP00000375616,9606.ENSP00000378058,9606.ENSP00000378118,9606.ENSP00000379438,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000417185,9606.ENSP00000436423,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000498879,9606.ENSP00000499459	SEMA3F,TNFRSF1A,FSTL3,OSM,OXT,PLAT,COMP,HGF,PI3,FABP4,IL1RN,MSTN,IL1B,KIT,FGF19,COL6A3,LTBP3,VASN,INHBC,B4GAT1,WFIKKN2,LEP,BSG,ICOSLG,THBS4,FN1,PLXNB2,FASLG,DPT,HSPG2,FGFBP1,LILRB4,EFEMP1,CCL8,UMOD,NPY,IL6,TNF,IL10,VWA1,GNLY,ADM,PGF,CD59,IL19
GO:0009986	Cell surface	20	894	0.81	1.16	1.49e-08	9606.ENSP00000162749,9606.ENSP00000220809,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000306864,9606.ENSP00000317272,9606.ENSP00000330393,9606.ENSP00000339477,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000366091,9606.ENSP00000371770,9606.ENSP00000375616,9606.ENSP00000379438,9606.ENSP00000398698,9606.ENSP00000405577,9606.ENSP00000420298,9606.ENSP00000478699,9606.ENSP00000498879	TNFRSF1A,PLAT,TNFRSF10B,KIT,VASN,MET,LEPR,ICOSLG,CD163,PLXNB2,FASLG,MOG,FGFBP1,LILRB4,UMOD,TNF,CLMP,CD200,TNFRSF9,CD59
GO:0071944	Cell periphery	45	6015	0.33	0.52	1.70e-06	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000222271,9606.ENSP00000243924,9606.ENSP00000259206,9606.ENSP00000259241,9606.ENSP00000259526,9606.ENSP00000275815,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000295550,9606.ENSP00000301873,9606.ENSP00000306864,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000339730,9606.ENSP00000341141,9606.ENSP00000346839,9606.ENSP00000347714,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000352455,9606.ENSP00000356694,9606.ENSP00000356791,9606.ENSP00000361112,9606.ENSP00000363827,9606.ENSP00000366091,9606.ENSP00000367001,9606.ENSP00000371770,9606.ENSP00000375616,9606.ENSP00000375622,9606.ENSP00000378058,9606.ENSP00000379438,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000405577,9606.ENSP00000414378,9606.ENSP00000417185,9606.ENSP00000420298,9606.ENSP00000478699,9606.ENSP00000498879	SEMA3F,TNFRSF1A,COMP,PI3,IL1RN,HS6ST1,CCN3,EPHA1,TNFRSF10B,KIT,COL6A3,LTBP3,VASN,MET,IFNLR1,LEPR,BSG,ICOSLG,THBS4,SIGLEC1,FN1,FCAR,CD163,PLXNB2,MFAP5,FASLG,DPT,CHRDL1,HSPG2,MOG,DPP6,FGFBP1,LILRB4,LAIR1,EFEMP1,UMOD,IL6,IL18R1,TNF,CLMP,EFNA4,VWA1,CD200,TNFRSF9,CD59
GO:0031012	Extracellular matrix	13	552	0.83	0.9	2.70e-05	9606.ENSP00000222271,9606.ENSP00000243924,9606.ENSP00000259526,9606.ENSP00000295550,9606.ENSP00000301873,9606.ENSP00000306864,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000352455,9606.ENSP00000356791,9606.ENSP00000363827,9606.ENSP00000378058,9606.ENSP00000417185	COMP,PI3,CCN3,COL6A3,LTBP3,VASN,THBS4,FN1,MFAP5,DPT,HSPG2,EFEMP1,VWA1
GO:0062023	Collagen-containing extracellular matrix	11	407	0.89	0.9	5.88e-05	9606.ENSP00000222271,9606.ENSP00000259526,9606.ENSP00000295550,9606.ENSP00000301873,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000352455,9606.ENSP00000356791,9606.ENSP00000363827,9606.ENSP00000378058,9606.ENSP00000417185	COMP,CCN3,COL6A3,LTBP3,THBS4,FN1,MFAP5,DPT,HSPG2,EFEMP1,VWA1
GO:0031226	Intrinsic component of plasma membrane	21	1788	0.53	0.6	0.00013	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000259241,9606.ENSP00000275815,9606.ENSP00000288135,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000333769,9606.ENSP00000347714,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000367001,9606.ENSP00000375616,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000414378,9606.ENSP00000420298,9606.ENSP00000478699,9606.ENSP00000498879	SEMA3F,TNFRSF1A,HS6ST1,EPHA1,KIT,MET,IFNLR1,BSG,FCAR,CD163,PLXNB2,FASLG,DPP6,LILRB4,IL6,IL18R1,TNF,EFNA4,CD200,TNFRSF9,CD59
GO:0031982	Vesicle	32	3957	0.36	0.47	0.00019	9606.ENSP00000217386,9606.ENSP00000220478,9606.ENSP00000220809,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000263341,9606.ENSP00000288135,9606.ENSP00000295550,9606.ENSP00000301873,9606.ENSP00000306864,9606.ENSP00000309096,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000339730,9606.ENSP00000341141,9606.ENSP00000346839,9606.ENSP00000347714,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000363827,9606.ENSP00000375616,9606.ENSP00000375622,9606.ENSP00000378058,9606.ENSP00000379438,9606.ENSP00000384364,9606.ENSP00000398698,9606.ENSP00000417185,9606.ENSP00000436423,9606.ENSP00000498879	OXT,SCG3,PLAT,COMP,HGF,FABP4,IL1RN,IL1B,KIT,COL6A3,LTBP3,VASN,B4GAT1,BSG,ICOSLG,THBS4,SIGLEC1,FN1,FCAR,CD163,PLXNB2,FASLG,HSPG2,LILRB4,LAIR1,EFEMP1,UMOD,NPY,TNF,VWA1,GNLY,CD59
GO:0005887	Integral component of plasma membrane	19	1706	0.5	0.51	0.00092	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000259241,9606.ENSP00000275815,9606.ENSP00000288135,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000333769,9606.ENSP00000347714,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000367001,9606.ENSP00000375616,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000420298,9606.ENSP00000478699	SEMA3F,TNFRSF1A,HS6ST1,EPHA1,KIT,MET,IFNLR1,BSG,FCAR,CD163,PLXNB2,FASLG,DPP6,LILRB4,IL6,IL18R1,TNF,CD200,TNFRSF9
GO:0005886	Plasma membrane	37	5544	0.28	0.38	0.0015	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000243924,9606.ENSP00000259206,9606.ENSP00000259241,9606.ENSP00000275815,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000295550,9606.ENSP00000306864,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000346839,9606.ENSP00000347714,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000361112,9606.ENSP00000363827,9606.ENSP00000366091,9606.ENSP00000367001,9606.ENSP00000371770,9606.ENSP00000375616,9606.ENSP00000375622,9606.ENSP00000379438,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000405577,9606.ENSP00000414378,9606.ENSP00000420298,9606.ENSP00000478699,9606.ENSP00000498879	SEMA3F,TNFRSF1A,PI3,IL1RN,HS6ST1,EPHA1,TNFRSF10B,KIT,COL6A3,VASN,MET,IFNLR1,LEPR,BSG,ICOSLG,SIGLEC1,FN1,FCAR,CD163,PLXNB2,FASLG,CHRDL1,HSPG2,MOG,DPP6,FGFBP1,LILRB4,LAIR1,UMOD,IL6,IL18R1,TNF,CLMP,EFNA4,CD200,TNFRSF9,CD59
