#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0007166	Cell surface receptor signaling pathway	38	2040	0.73	1.3	1.14e-15	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000215781,9606.ENSP00000220809,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000275815,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000301873,9606.ENSP00000308716,9606.ENSP00000311184,9606.ENSP00000312652,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000346839,9606.ENSP00000347714,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000361112,9606.ENSP00000366091,9606.ENSP00000371770,9606.ENSP00000375616,9606.ENSP00000378058,9606.ENSP00000378118,9606.ENSP00000379438,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000414378,9606.ENSP00000451040,9606.ENSP00000498879	SEMA3F,TNFRSF1A,OSM,PLAT,COMP,HGF,MSTN,IL1B,EPHA1,TNFRSF10B,KIT,FGF19,LTBP3,INHBC,WFIKKN2,LEP,MET,IFNLR1,LEPR,BSG,ICOSLG,FN1,FCAR,PLXNB2,FASLG,CHRDL1,MOG,FGFBP1,LILRB4,EFEMP1,CCL8,UMOD,IL6,IL18R1,TNF,EFNA4,PGF,CD59
GO:0051239	Regulation of multicellular organismal process	40	2749	0.62	1.04	2.02e-13	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000166139,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000256104,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000275815,9606.ENSP00000288135,9606.ENSP00000301873,9606.ENSP00000306864,9606.ENSP00000312652,9606.ENSP00000317272,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000363827,9606.ENSP00000363869,9606.ENSP00000366091,9606.ENSP00000371770,9606.ENSP00000375616,9606.ENSP00000378058,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000420298,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000499459	SEMA3F,TNFRSF1A,FSTL3,OSM,OXT,PLAT,COMP,HGF,FABP4,CCN3,MSTN,IL1B,EPHA1,KIT,LTBP3,VASN,LEP,MET,LEPR,BSG,ICOSLG,THBS4,FN1,PLXNB2,FASLG,HSPG2,VSIG4,MOG,FGFBP1,LILRB4,EFEMP1,NPY,IL6,IL18R1,TNF,IL10,CD200,ADM,PGF,IL19
GO:0051241	Negative regulation of multicellular organismal process	26	1035	0.86	1.46	2.78e-12	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000166139,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000222390,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000301873,9606.ENSP00000306864,9606.ENSP00000312652,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000356694,9606.ENSP00000363827,9606.ENSP00000363869,9606.ENSP00000375616,9606.ENSP00000378058,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000420298,9606.ENSP00000436607,9606.ENSP00000499459	SEMA3F,TNFRSF1A,FSTL3,OXT,PLAT,HGF,CCN3,MSTN,IL1B,LTBP3,VASN,LEP,THBS4,FN1,FASLG,HSPG2,VSIG4,LILRB4,EFEMP1,IL6,IL18R1,TNF,IL10,CD200,ADM,IL19
GO:0048519	Negative regulation of biological process	49	5313	0.42	0.69	1.45e-10	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000166139,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000243924,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000275815,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000295550,9606.ENSP00000301873,9606.ENSP00000306864,9606.ENSP00000311184,9606.ENSP00000312652,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000339477,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000356791,9606.ENSP00000361112,9606.ENSP00000363827,9606.ENSP00000363869,9606.ENSP00000371770,9606.ENSP00000375616,9606.ENSP00000378058,9606.ENSP00000378118,9606.ENSP00000379438,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000420298,9606.ENSP00000436607,9606.ENSP00000478699,9606.ENSP00000498879,9606.ENSP00000499459	SEMA3F,TNFRSF1A,FSTL3,OSM,OXT,PLAT,COMP,HGF,PI3,FABP4,IL1RN,CCN3,MSTN,IL1B,EPHA1,KIT,FGF19,COL6A3,LTBP3,VASN,WFIKKN2,LEP,MET,IFNLR1,LEPR,ICOSLG,THBS4,FN1,PLXNB2,FASLG,DPT,CHRDL1,HSPG2,VSIG4,FGFBP1,LILRB4,EFEMP1,CCL8,UMOD,NPY,IL6,IL18R1,TNF,IL10,CD200,ADM,TNFRSF9,CD59,IL19
GO:0050896	Response to stimulus	58	7835	0.32	0.58	1.63e-10	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000243924,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000275815,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000300055,9606.ENSP00000301873,9606.ENSP00000306864,9606.ENSP00000308716,9606.ENSP00000309096,9606.ENSP00000311184,9606.ENSP00000312652,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000339730,9606.ENSP00000341141,9606.ENSP00000346839,9606.ENSP00000347714,9606.ENSP00000352071,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000361112,9606.ENSP00000363827,9606.ENSP00000363869,9606.ENSP00000366091,9606.ENSP00000371770,9606.ENSP00000375616,9606.ENSP00000375622,9606.ENSP00000378058,9606.ENSP00000378118,9606.ENSP00000379438,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000414378,9606.ENSP00000417185,9606.ENSP00000436423,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000498879,9606.ENSP00000499459	SEMA3F,TNFRSF1A,OSM,OXT,PLAT,COMP,HGF,PI3,FABP4,IL1RN,CCN3,MSTN,IL1B,EPHA1,TNFRSF10B,KIT,FGF19,PLIN1,LTBP3,VASN,INHBC,B4GAT1,WFIKKN2,LEP,MET,IFNLR1,LEPR,BSG,ICOSLG,THBS4,SIGLEC1,FN1,FCAR,CD163,PLXNB2,FASLG,CHRDL1,HSPG2,VSIG4,MOG,FGFBP1,LILRB4,LAIR1,EFEMP1,CCL8,UMOD,NPY,IL6,IL18R1,TNF,IL10,EFNA4,VWA1,GNLY,ADM,PGF,CD59,IL19
GO:0007165	Signal transduction	46	4714	0.44	0.72	2.01e-10	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000259206,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000275815,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000301873,9606.ENSP00000308716,9606.ENSP00000311184,9606.ENSP00000312652,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000347714,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000361112,9606.ENSP00000366091,9606.ENSP00000371770,9606.ENSP00000375616,9606.ENSP00000378058,9606.ENSP00000378118,9606.ENSP00000379438,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000414378,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000498879,9606.ENSP00000499459	SEMA3F,TNFRSF1A,OSM,OXT,PLAT,COMP,HGF,IL1RN,CCN3,MSTN,IL1B,EPHA1,TNFRSF10B,KIT,FGF19,LTBP3,INHBC,WFIKKN2,LEP,MET,IFNLR1,LEPR,BSG,ICOSLG,THBS4,FN1,FCAR,PLXNB2,FASLG,CHRDL1,MOG,FGFBP1,LILRB4,EFEMP1,CCL8,UMOD,NPY,IL6,IL18R1,TNF,IL10,EFNA4,ADM,PGF,CD59,IL19
GO:0042127	Regulation of cell population proliferation	29	1669	0.7	1.09	2.01e-10	9606.ENSP00000215781,9606.ENSP00000222271,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000275815,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000301873,9606.ENSP00000312652,9606.ENSP00000327824,9606.ENSP00000339477,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000356694,9606.ENSP00000356791,9606.ENSP00000363869,9606.ENSP00000371770,9606.ENSP00000375616,9606.ENSP00000378118,9606.ENSP00000379438,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000420298,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000478699	OSM,COMP,CCN3,MSTN,IL1B,EPHA1,KIT,FGF19,LTBP3,LEP,IFNLR1,ICOSLG,THBS4,FN1,FASLG,DPT,VSIG4,FGFBP1,LILRB4,CCL8,UMOD,NPY,IL6,TNF,IL10,CD200,ADM,PGF,TNFRSF9
GO:0048583	Regulation of response to stimulus	41	3931	0.47	0.74	1.75e-09	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000166139,9606.ENSP00000215781,9606.ENSP00000220809,9606.ENSP00000222390,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000306864,9606.ENSP00000308716,9606.ENSP00000311184,9606.ENSP00000312652,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000339477,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000347714,9606.ENSP00000356694,9606.ENSP00000361112,9606.ENSP00000363869,9606.ENSP00000366091,9606.ENSP00000371770,9606.ENSP00000375616,9606.ENSP00000378118,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000420298,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000498879,9606.ENSP00000499459	SEMA3F,TNFRSF1A,FSTL3,OSM,PLAT,HGF,FABP4,IL1RN,CCN3,MSTN,IL1B,TNFRSF10B,KIT,FGF19,VASN,INHBC,WFIKKN2,LEP,MET,IFNLR1,ICOSLG,THBS4,FN1,FCAR,FASLG,CHRDL1,VSIG4,MOG,FGFBP1,LILRB4,CCL8,NPY,IL6,IL18R1,TNF,IL10,CD200,ADM,PGF,CD59,IL19
GO:0009605	Response to external stimulus	32	2355	0.59	0.88	2.74e-09	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000217386,9606.ENSP00000222390,9606.ENSP00000243924,9606.ENSP00000256104,9606.ENSP00000259526,9606.ENSP00000263341,9606.ENSP00000275815,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000309096,9606.ENSP00000312652,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000347714,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000363869,9606.ENSP00000378118,9606.ENSP00000379438,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000414378,9606.ENSP00000436423,9606.ENSP00000436607,9606.ENSP00000451040	SEMA3F,TNFRSF1A,OXT,HGF,PI3,FABP4,CCN3,IL1B,EPHA1,TNFRSF10B,KIT,FGF19,B4GAT1,LEP,MET,IFNLR1,BSG,ICOSLG,FCAR,PLXNB2,FASLG,VSIG4,CCL8,UMOD,NPY,IL6,TNF,IL10,EFNA4,GNLY,ADM,PGF
GO:0042221	Response to chemical	41	4010	0.47	0.72	2.74e-09	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000275815,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000301873,9606.ENSP00000306864,9606.ENSP00000309096,9606.ENSP00000311184,9606.ENSP00000312652,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000339730,9606.ENSP00000347714,9606.ENSP00000352288,9606.ENSP00000356694,9606.ENSP00000361112,9606.ENSP00000371770,9606.ENSP00000375616,9606.ENSP00000378118,9606.ENSP00000379438,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000414378,9606.ENSP00000436607,9606.ENSP00000451040	SEMA3F,TNFRSF1A,OSM,OXT,PLAT,COMP,HGF,FABP4,IL1RN,CCN3,MSTN,IL1B,EPHA1,KIT,FGF19,LTBP3,VASN,B4GAT1,WFIKKN2,LEP,MET,IFNLR1,LEPR,BSG,ICOSLG,THBS4,FCAR,PLXNB2,FASLG,CHRDL1,FGFBP1,LILRB4,CCL8,UMOD,IL6,IL18R1,TNF,IL10,EFNA4,ADM,PGF
