#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0030545	Signaling receptor regulator activity	24	552	1.09	2.28	2.93e-16	9606.ENSP00000002829,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000222390,9606.ENSP00000259206,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000294312,9606.ENSP00000308716,9606.ENSP00000311184,9606.ENSP00000312652,9606.ENSP00000339730,9606.ENSP00000356694,9606.ENSP00000375616,9606.ENSP00000378058,9606.ENSP00000378118,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000499459	SEMA3F,OSM,OXT,HGF,IL1RN,CCN3,MSTN,IL1B,FGF19,INHBC,WFIKKN2,LEP,THBS4,FASLG,LILRB4,EFEMP1,CCL8,NPY,IL6,TNF,IL10,ADM,PGF,IL19
GO:0048018	Receptor ligand activity	22	499	1.1	2.21	5.39e-15	9606.ENSP00000002829,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000222390,9606.ENSP00000259206,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000294312,9606.ENSP00000308716,9606.ENSP00000312652,9606.ENSP00000339730,9606.ENSP00000356694,9606.ENSP00000378058,9606.ENSP00000378118,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000499459	SEMA3F,OSM,OXT,HGF,IL1RN,CCN3,MSTN,IL1B,FGF19,INHBC,LEP,THBS4,FASLG,EFEMP1,CCL8,NPY,IL6,TNF,IL10,ADM,PGF,IL19
GO:0005102	Signaling receptor binding	31	1499	0.77	1.35	7.22e-14	9606.ENSP00000002829,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000294312,9606.ENSP00000308716,9606.ENSP00000311184,9606.ENSP00000312652,9606.ENSP00000339477,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000356694,9606.ENSP00000363827,9606.ENSP00000366091,9606.ENSP00000378058,9606.ENSP00000378118,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000414378,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000499459	SEMA3F,OSM,OXT,PLAT,COMP,HGF,FABP4,IL1RN,CCN3,MSTN,IL1B,FGF19,INHBC,WFIKKN2,LEP,ICOSLG,THBS4,FN1,FASLG,HSPG2,MOG,EFEMP1,CCL8,NPY,IL6,TNF,IL10,EFNA4,ADM,PGF,IL19
GO:0019955	Cytokine binding	11	141	1.35	2.0	4.73e-09	9606.ENSP00000162749,9606.ENSP00000222271,9606.ENSP00000259206,9606.ENSP00000288135,9606.ENSP00000301873,9606.ENSP00000306864,9606.ENSP00000311184,9606.ENSP00000330393,9606.ENSP00000361112,9606.ENSP00000387211,9606.ENSP00000478699	TNFRSF1A,COMP,IL1RN,KIT,LTBP3,VASN,WFIKKN2,LEPR,CHRDL1,IL18R1,TNFRSF9
GO:0008083	Growth factor activity	11	162	1.29	1.84	1.62e-08	9606.ENSP00000215781,9606.ENSP00000222390,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000294312,9606.ENSP00000308716,9606.ENSP00000339730,9606.ENSP00000378058,9606.ENSP00000385675,9606.ENSP00000412237,9606.ENSP00000451040	OSM,HGF,CCN3,MSTN,FGF19,INHBC,THBS4,EFEMP1,IL6,IL10,PGF
GO:0098772	Molecular function regulator activity	28	1960	0.61	0.88	1.89e-08	9606.ENSP00000002829,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000222390,9606.ENSP00000243924,9606.ENSP00000259206,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000294312,9606.ENSP00000295550,9606.ENSP00000308716,9606.ENSP00000311184,9606.ENSP00000312652,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000356694,9606.ENSP00000367001,9606.ENSP00000375616,9606.ENSP00000378058,9606.ENSP00000378118,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000499459	SEMA3F,OSM,OXT,HGF,PI3,IL1RN,CCN3,MSTN,IL1B,FGF19,COL6A3,INHBC,WFIKKN2,LEP,THBS4,FN1,FASLG,DPP6,LILRB4,EFEMP1,CCL8,NPY,IL6,TNF,IL10,ADM,PGF,IL19
GO:0005515	Protein binding	51	7242	0.3	0.51	2.56e-07	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000166139,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000275815,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000294312,9606.ENSP00000301873,9606.ENSP00000306864,9606.ENSP00000308716,9606.ENSP00000311184,9606.ENSP00000312652,9606.ENSP00000317272,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000352071,9606.ENSP00000356694,9606.ENSP00000361112,9606.ENSP00000363827,9606.ENSP00000363869,9606.ENSP00000366091,9606.ENSP00000371770,9606.ENSP00000375616,9606.ENSP00000378058,9606.ENSP00000378118,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000414378,9606.ENSP00000417185,9606.ENSP00000420298,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000478699,9606.ENSP00000498879,9606.ENSP00000499459	SEMA3F,TNFRSF1A,FSTL3,OSM,OXT,PLAT,COMP,HGF,FABP4,IL1RN,CCN3,MSTN,IL1B,EPHA1,TNFRSF10B,KIT,FGF19,LTBP3,VASN,INHBC,WFIKKN2,LEP,MET,LEPR,BSG,ICOSLG,THBS4,FN1,CD163,FASLG,CHRDL1,HSPG2,VSIG4,MOG,FGFBP1,LILRB4,EFEMP1,CCL8,NPY,IL6,IL18R1,TNF,IL10,EFNA4,VWA1,CD200,ADM,PGF,TNFRSF9,CD59,IL19
GO:0005125	Cytokine activity	11	234	1.13	1.42	4.49e-07	9606.ENSP00000215781,9606.ENSP00000259206,9606.ENSP00000260950,9606.ENSP00000263341,9606.ENSP00000308716,9606.ENSP00000356694,9606.ENSP00000378118,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000499459	OSM,IL1RN,MSTN,IL1B,INHBC,FASLG,CCL8,IL6,TNF,IL10,IL19
GO:0005126	Cytokine receptor binding	10	270	1.02	1.07	2.22e-05	9606.ENSP00000215781,9606.ENSP00000259206,9606.ENSP00000263341,9606.ENSP00000308716,9606.ENSP00000356694,9606.ENSP00000378118,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000451040	OSM,IL1RN,IL1B,INHBC,FASLG,CCL8,IL6,TNF,IL10,PGF
GO:0008201	Heparin binding	8	173	1.12	1.01	9.85e-05	9606.ENSP00000222271,9606.ENSP00000259526,9606.ENSP00000260950,9606.ENSP00000339730,9606.ENSP00000346839,9606.ENSP00000371770,9606.ENSP00000378118,9606.ENSP00000451040	COMP,CCN3,MSTN,THBS4,FN1,FGFBP1,CCL8,PGF
