#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADM	IL1B	9606.ENSP00000436607	9606.ENSP00000263341	0	0	0	0	0.109	0	0	0.468	0.505
ADM	LEP	9606.ENSP00000436607	9606.ENSP00000312652	0	0	0	0	0.047	0	0	0.418	0.421
ADM	NPY	9606.ENSP00000436607	9606.ENSP00000384364	0	0	0	0	0	0	0	0.418	0.418
ADM	IL6	9606.ENSP00000436607	9606.ENSP00000385675	0	0	0	0	0.115	0	0	0.511	0.548
ADM	TNF	9606.ENSP00000436607	9606.ENSP00000398698	0	0	0	0	0.049	0	0	0.448	0.452
B4GAT1	HSPG2	9606.ENSP00000309096	9606.ENSP00000363827	0	0	0	0	0.053	0	0	0.429	0.436
BSG	IL1B	9606.ENSP00000333769	9606.ENSP00000263341	0	0	0	0	0.065	0	0	0.471	0.484
BSG	TNFRSF10B	9606.ENSP00000333769	9606.ENSP00000276431	0	0	0	0	0	0	0	0.449	0.449
BSG	FN1	9606.ENSP00000333769	9606.ENSP00000346839	0	0	0	0	0.044	0.092	0	0.419	0.451
BSG	IL10	9606.ENSP00000333769	9606.ENSP00000412237	0	0	0	0	0.087	0	0	0.447	0.473
BSG	TNF	9606.ENSP00000333769	9606.ENSP00000398698	0	0	0	0	0.048	0	0	0.478	0.482
BSG	CD59	9606.ENSP00000333769	9606.ENSP00000498879	0	0	0	0	0.055	0	0	0.532	0.538
BSG	IL6	9606.ENSP00000333769	9606.ENSP00000385675	0	0	0	0	0	0	0	0.691	0.691
CALB2	KIT	9606.ENSP00000307508	9606.ENSP00000288135	0	0	0	0	0.044	0	0	0.534	0.535
CALB2	NPY	9606.ENSP00000307508	9606.ENSP00000384364	0	0	0	0	0.062	0	0	0.899	0.902
CCL8	IL1RN	9606.ENSP00000378118	9606.ENSP00000259206	0	0	0	0	0.178	0	0	0.348	0.441
CCL8	IL1B	9606.ENSP00000378118	9606.ENSP00000263341	0	0	0	0	0.175	0	0	0.599	0.655
CCL8	COL6A3	9606.ENSP00000378118	9606.ENSP00000295550	0	0	0	0	0.062	0	0	0.399	0.412
CCL8	LEP	9606.ENSP00000378118	9606.ENSP00000312652	0	0	0	0	0.049	0	0	0.510	0.514
CCL8	SIGLEC1	9606.ENSP00000378118	9606.ENSP00000341141	0	0	0	0	0.353	0.096	0	0.610	0.752
CCL8	CD163	9606.ENSP00000378118	9606.ENSP00000352071	0	0	0	0	0.184	0.099	0	0.599	0.679
CCL8	TNF	9606.ENSP00000378118	9606.ENSP00000398698	0	0	0	0	0.165	0	0	0.583	0.637
CCL8	IL10	9606.ENSP00000378118	9606.ENSP00000412237	0	0	0	0	0.227	0	0	0.588	0.668
CCL8	IL6	9606.ENSP00000378118	9606.ENSP00000385675	0	0	0	0	0.223	0	0	0.614	0.687
CCN3	MFAP5	9606.ENSP00000259526	9606.ENSP00000352455	0	0	0	0	0.064	0	0	0.459	0.471
CCN3	FN1	9606.ENSP00000259526	9606.ENSP00000346839	0	0	0	0	0.059	0.295	0	0.369	0.545
CD163	TNFRSF1A	9606.ENSP00000352071	9606.ENSP00000162749	0	0	0	0	0.083	0	0	0.381	0.409
CD163	PLAT	9606.ENSP00000352071	9606.ENSP00000220809	0	0	0	0	0	0.113	0	0.528	0.564
CD163	HGF	9606.ENSP00000352071	9606.ENSP00000222390	0	0	0	0	0.097	0.113	0	0.318	0.406
CD163	IL1RN	9606.ENSP00000352071	9606.ENSP00000259206	0	0	0	0	0.141	0	0	0.400	0.462
CD163	IL1B	9606.ENSP00000352071	9606.ENSP00000263341	0	0	0	0	0.149	0	0	0.820	0.840
CD163	KIT	9606.ENSP00000352071	9606.ENSP00000288135	0	0	0	0	0.045	0.045	0	0.433	0.438
