#clustering method	cluster number	cluster color	hex color	gene count	protein name	protein identifier	protein description
kmeans	1	Red	#ff0000	70	ALDH1A1	9606.ENSP00000297785	Retinal dehydrogenase 1; Can convert/oxidize retinaldehyde to retinoic acid. Binds free retinal and cellular retinol-binding protein-bound retinal (By similarity). May have a broader specificity and oxidize other aldehydes in vivo.
kmeans	1	Red	#ff0000	70	ARSB	9606.ENSP00000264914	Arylsulfatase B; Removes sulfate groups from chondroitin-4-sulfate (C4S) and regulates its degradation. Involved in the regulation of cell adhesion, cell migration and invasion in colonic epithelium. In the central nervous system, is a regulator of neurite outgrowth and neuronal plasticity, acting through the control of sulfate glycosaminoglycans and neurocan levels (By similarity). Belongs to the sulfatase family.
kmeans	1	Red	#ff0000	70	BAIAP2	9606.ENSP00000316338	Brain-specific angiogenesis inhibitor 1-associated protein 2; Adapter protein that links membrane-bound small G-proteins to cytoplasmic effector proteins. Necessary for CDC42-mediated reorganization of the actin cytoskeleton and for RAC1-mediated membrane ruffling. Involved in the regulation of the actin cytoskeleton by WASF family members and the Arp2/3 complex. Plays a role in neurite growth. Acts syngeristically with ENAH to promote filipodia formation. Plays a role in the reorganization of the actin cytoskeleton in response to bacterial infection. Participates in actin bundling whe [...] 
kmeans	1	Red	#ff0000	70	BCR	9606.ENSP00000303507	Breakpoint cluster region protein; Protein with a unique structure having two opposing regulatory activities toward small GTP-binding proteins. The C-terminus is a GTPase-activating protein (GAP) domain which stimulates GTP hydrolysis by RAC1, RAC2 and CDC42. Accelerates the intrinsic rate of GTP hydrolysis of RAC1 or CDC42, leading to down-regulation of the active GTP-bound form. The central Dbl homology (DH) domain functions as guanine nucleotide exchange factor (GEF) that modulates the GTPases CDC42, RHOA and RAC1. Promotes the conversion of CDC42, RHOA and RAC1 from the GDP-bound t [...] 
kmeans	1	Red	#ff0000	70	CCL11	9606.ENSP00000302234	Eotaxin; In response to the presence of allergens, this protein directly promotes the accumulation of eosinophils, a prominent feature of allergic inflammatory reactions. Binds to CCR3.
kmeans	1	Red	#ff0000	70	CCL2	9606.ENSP00000225831	C-C motif chemokine 2; Acts as a ligand for C-C chemokine receptor CCR2. Signals through binding and activation of CCR2 and induces a strong chemotactic response and mobilization of intracellular calcium ions. Exhibits a chemotactic activity for monocytes and basophils but not neutrophils or eosinophils. May be involved in the recruitment of monocytes into the arterial wall during the disease process of atherosclerosis.
kmeans	1	Red	#ff0000	70	CCL26	9606.ENSP00000378365	C-C motif chemokine 26; Chemoattractant for eosinophils and basophils. Acts as a ligand for C-C chemokine receptor CCR3 which triggers Ca(2+) mobilization in eosinophils.
kmeans	1	Red	#ff0000	70	CD93	9606.ENSP00000246006	Complement component C1q receptor; Receptor (or element of a larger receptor complex) for C1q, mannose-binding lectin (MBL2) and pulmonary surfactant protein A (SPA). May mediate the enhancement of phagocytosis in monocytes and macrophages upon interaction with soluble defense collagens. May play a role in intercellular adhesion.
kmeans	1	Red	#ff0000	70	CRKL	9606.ENSP00000346300	Crk-like protein; May mediate the transduction of intracellular signals.
kmeans	1	Red	#ff0000	70	CSF3	9606.ENSP00000225474	Granulocyte colony-stimulating factor; Granulocyte/macrophage colony-stimulating factors are cytokines that act in hematopoiesis by controlling the production, differentiation, and function of 2 related white cell populations of the blood, the granulocytes and the monocytes-macrophages. This CSF induces granulocytes; Belongs to the IL-6 superfamily.
kmeans	1	Red	#ff0000	70	DAPP1	9606.ENSP00000423602	Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide; May act as a B-cell-associated adapter that regulates B-cell antigen receptor (BCR)-signaling downstream of PI3K.
kmeans	1	Red	#ff0000	70	DCXR	9606.ENSP00000303356	L-xylulose reductase; Catalyzes the NADPH-dependent reduction of several pentoses, tetroses, trioses, alpha-dicarbonyl compounds and L-xylulose. Participates in the uronate cycle of glucose metabolism. May play a role in the water absorption and cellular osmoregulation in the proximal renal tubules by producing xylitol, an osmolyte, thereby preventing osmolytic stress from occurring in the renal tubules.
kmeans	1	Red	#ff0000	70	DDC	9606.ENSP00000403644	Aromatic-L-amino-acid decarboxylase; Catalyzes the decarboxylation of L-3,4-dihydroxyphenylalanine (DOPA) to dopamine, L-5-hydroxytryptophan to serotonin and L-tryptophan to tryptamine; Belongs to the group II decarboxylase family.
kmeans	1	Red	#ff0000	70	DPP6	9606.ENSP00000367001	Dipeptidyl aminopeptidase-like protein 6; Promotes cell surface expression of the potassium channel KCND2. Modulates the activity and gating characteristics of the potassium channel KCND2. Has no dipeptidyl aminopeptidase activity.
kmeans	1	Red	#ff0000	70	EBAG9	9606.ENSP00000337675	Receptor-binding cancer antigen expressed on SiSo cells; May participate in suppression of cell proliferation and induces apoptotic cell death through activation of interleukin-1-beta converting enzyme (ICE)-like proteases.
