#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005102	Signaling receptor binding	23	1499	0.72	4.28e-08	9606.ENSP00000188790,9606.ENSP00000233154,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000284240,9606.ENSP00000301838,9606.ENSP00000303208,9606.ENSP00000313391,9606.ENSP00000327290,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000370373,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000433112,9606.ENSP00000462468,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959	FAP,NCK2,IL7,FCER2,THY1,FADD,PCSK9,DAB2,ITGA11,ICOSLG,SH2B3,CRKL,FKBP1B,NTF3,TGFA,PDGFC,ERBIN,IL32,DKK3,YES1,FGF21,KITLG,ITGAM
GO:0005515	Protein binding	42	7242	0.3	4.12e-05	9606.ENSP00000188790,9606.ENSP00000233154,9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000262320,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000265071,9606.ENSP00000269202,9606.ENSP00000277120,9606.ENSP00000280362,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000300026,9606.ENSP00000301838,9606.ENSP00000303208,9606.ENSP00000313391,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000327290,9606.ENSP00000331201,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000370373,9606.ENSP00000389377,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000433112,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959	FAP,NCK2,CD93,SNAP23,AXIN1,IL7,FCER2,CDH6,MEP1B,NTRK2,PTS,THY1,KIT,STAT5B,PPIB,FADD,PCSK9,DAB2,BAIAP2,MET,ITGA11,HGS,GRAP2,ICOSLG,SH2B3,CRKL,FKBP1B,NFATC1,NTF3,DDC,TGFA,ROBO1,PDGFC,ERBIN,IL32,DKK3,FKBP5,YES1,PAK4,FGF21,KITLG,ITGAM
GO:0005528	FK506 binding	3	10	2.02	0.0105	9606.ENSP00000370373,9606.ENSP00000389377,9606.ENSP00000444810	FKBP1B,NFATC1,FKBP5
GO:0001784	Phosphotyrosine residue binding	4	46	1.48	0.0108	9606.ENSP00000233154,9606.ENSP00000339186,9606.ENSP00000346300,9606.ENSP00000462468	NCK2,GRAP2,CRKL,YES1
GO:0008083	Growth factor activity	6	162	1.11	0.0108	9606.ENSP00000263851,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000471477,9606.ENSP00000495951	IL7,NTF3,TGFA,PDGFC,FGF21,KITLG
GO:0030545	Signaling receptor regulator activity	9	552	0.75	0.0187	9606.ENSP00000263851,9606.ENSP00000303208,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000431775,9606.ENSP00000433112,9606.ENSP00000471477,9606.ENSP00000495951	IL7,PCSK9,NTF3,TGFA,PDGFC,IL32,DKK3,FGF21,KITLG
GO:0050839	Cell adhesion molecule binding	9	560	0.74	0.0187	9606.ENSP00000188790,9606.ENSP00000264072,9606.ENSP00000265071,9606.ENSP00000284240,9606.ENSP00000316338,9606.ENSP00000327290,9606.ENSP00000346300,9606.ENSP00000469413,9606.ENSP00000496959	FAP,FCER2,CDH6,THY1,BAIAP2,ITGA11,CRKL,PAK4,ITGAM
GO:0098772	Molecular function regulator activity	17	1960	0.48	0.0187	9606.ENSP00000243924,9606.ENSP00000263851,9606.ENSP00000284240,9606.ENSP00000297785,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000337675,9606.ENSP00000361761,9606.ENSP00000370115,9606.ENSP00000370373,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000431775,9606.ENSP00000433112,9606.ENSP00000471477,9606.ENSP00000495951	PI3,IL7,THY1,ALDH1A1,PCSK9,BCR,EBAG9,WFDC2,SERPINB1,FKBP1B,NTF3,TGFA,PDGFC,IL32,DKK3,FGF21,KITLG
GO:0030674	Protein-macromolecule adaptor activity	7	322	0.88	0.0193	9606.ENSP00000233154,9606.ENSP00000249647,9606.ENSP00000262320,9606.ENSP00000313391,9606.ENSP00000316338,9606.ENSP00000345492,9606.ENSP00000346300	NCK2,SNAP23,AXIN1,DAB2,BAIAP2,SH2B3,CRKL
GO:0004713	Protein tyrosine kinase activity	5	146	1.07	0.0305	9606.ENSP00000277120,9606.ENSP00000288135,9606.ENSP00000303507,9606.ENSP00000317272,9606.ENSP00000462468	NTRK2,KIT,BCR,MET,YES1
GO:0005178	Integrin binding	5	159	1.04	0.0416	9606.ENSP00000188790,9606.ENSP00000264072,9606.ENSP00000284240,9606.ENSP00000327290,9606.ENSP00000496959	FAP,FCER2,THY1,ITGA11,ITGAM
GO:0005173	Stem cell factor receptor binding	2	4	2.24	0.0429	9606.ENSP00000345492,9606.ENSP00000495951	SH2B3,KITLG
GO:0035591	Signaling adaptor activity	4	86	1.21	0.0429	9606.ENSP00000233154,9606.ENSP00000262320,9606.ENSP00000345492,9606.ENSP00000346300	NCK2,AXIN1,SH2B3,CRKL
