#clustering method	cluster number	cluster color	hex color	gene count	protein name	protein identifier	protein description
kmeans	1	Red	#ff0000	69	ADM	9606.ENSP00000436607	Proadrenomedullin N-20 terminal peptide; AM and PAMP are potent hypotensive and vasodilatator agents. Numerous actions have been reported most related to the physiologic control of fluid and electrolyte homeostasis. In the kidney, am is diuretic and natriuretic, and both am and pamp inhibit aldosterone secretion by direct adrenal actions. In pituitary gland, both peptides at physiologically relevant doses inhibit basal ACTH secretion. Both peptides appear to act in brain and pituitary gland to facilitate the loss of plasma volume, actions which complement their hypotensive effects in b [...] 
kmeans	1	Red	#ff0000	69	B4GAT1	9606.ENSP00000309096	Beta-1,4-glucuronyltransferase 1; Beta-1,4-glucuronyltransferase involved in O-mannosylation of alpha-dystroglycan (DAG1). Transfers a glucuronic acid (GlcA) residue onto a xylose (Xyl) acceptor to produce the glucuronyl-beta-1,4-xylose- beta disaccharide primer, which is further elongated by LARGE1, during synthesis of phosphorylated O-mannosyl glycan. Phosphorylated O-mannosyl glycan is a carbohydrate is a carbohydrate structure present in alpha-dystroglycan (DAG1), which is required for binding laminin G-like domain-containing extracellular proteins with high affinity. Required for  [...] 
kmeans	1	Red	#ff0000	69	BSG	9606.ENSP00000333769	Basigin; Plays an important role in targeting the monocarboxylate transporters SLC16A1, SLC16A3, SLC16A8, SLC16A11 and SLC16A12 to the plasma membrane. Plays pivotal roles in spermatogenesis, embryo implantation, neural network formation and tumor progression. Stimulates adjacent fibroblasts to produce matrix metalloproteinases (MMPS). Seems to be a receptor for oligomannosidic glycans. In vitro, promotes outgrowth of astrocytic processes.  (Microbial infection) Erythrocyte receptor for P.falciparum RH5 which is essential for erythrocyte invasion by the merozoite stage of P.falciparum  [...] 
kmeans	1	Red	#ff0000	69	CALB2	9606.ENSP00000307508	Calretinin; Calretinin is a calcium-binding protein which is abundant in auditory neurons; Belongs to the calbindin family.
kmeans	1	Red	#ff0000	69	CCL8	9606.ENSP00000378118	C-C motif chemokine 8; Chemotactic factor that attracts monocytes, lymphocytes, basophils and eosinophils. May play a role in neoplasia and inflammatory host responses. This protein can bind heparin. The processed form MCP-2(6-76) does not show monocyte chemotactic activity, but inhibits the chemotactic effect most predominantly of CCL7, and also of CCL2 and CCL5 and CCL8.
kmeans	1	Red	#ff0000	69	CCN3	9606.ENSP00000259526	CCN family member 3; Immediate-early protein playing a role in various cellular processes including proliferation, adhesion, migration, differentiation and survival. Acts by binding to integrins or membrane receptors such as NOTCH1. Essential regulator of hematopoietic stem and progenitor cell function. Inhibits myogenic differentiation through the activation of Notch-signaling pathway. Inhibits vascular smooth muscle cells proliferation by increasing expression of cell-cycle regulators such as CDKN2B or CDKN1A independently of TGFB1 signaling. Ligand of integrins ITGAV:ITGB3 and ITGA5 [...] 
kmeans	1	Red	#ff0000	69	CD163	9606.ENSP00000352071	Scavenger receptor cysteine-rich type 1 protein M130; Acute phase-regulated receptor involved in clearance and endocytosis of hemoglobin/haptoglobin complexes by macrophages and may thereby protect tissues from free hemoglobin-mediated oxidative damage. May play a role in the uptake and recycling of iron, via endocytosis of hemoglobin/haptoglobin and subsequent breakdown of heme. Binds hemoglobin/haptoglobin complexes in a calcium-dependent and pH- dependent manner. Exhibits a higher affinity for complexes of hemoglobin and multimeric haptoglobin of HP*1F phenotype than for complexes o [...] 
kmeans	1	Red	#ff0000	69	CD200	9606.ENSP00000420298	OX-2 membrane glycoprotein; Costimulates T-cell proliferation. May regulate myeloid cell activity in a variety of tissues.
kmeans	1	Red	#ff0000	69	CD59	9606.ENSP00000498879	CD59 glycoprotein; Potent inhibitor of the complement membrane attack complex (MAC) action. Acts by binding to the C8 and/or C9 complements of the assembling MAC, thereby preventing incorporation of the multiple copies of C9 required for complete formation of the osmolytic pore. This inhibitor appears to be species-specific. Involved in signal transduction for T-cell activation complexed to a protein tyrosine kinase.
kmeans	1	Red	#ff0000	69	CHRDL1	9606.ENSP00000361112	Chordin-like protein 1; Antagonizes the function of BMP4 by binding to it and preventing its interaction with receptors. Alters the fate commitment of neural stem cells from gliogenesis to neurogenesis. Contributes to neuronal differentiation of neural stem cells in the brain by preventing the adoption of a glial fate. May play a crucial role in dorsoventral axis formation. May play a role in embryonic bone formation (By similarity). May also play an important role in regulating retinal angiogenesis through modulation of BMP4 actions in endothelial cells. Plays a role during anterior s [...] 
kmeans	1	Red	#ff0000	69	CLMP	9606.ENSP00000405577	CXADR-like membrane protein; May be involved in the cell-cell adhesion. May play a role in adipocyte differentiation and development of obesity. Is required for normal small intestine development.
kmeans	1	Red	#ff0000	69	COL6A3	9606.ENSP00000295550	Collagen alpha-3(VI) chain; Collagen VI acts as a cell-binding protein.
