#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005102	Signaling receptor binding	29	1499	0.74	1.19	3.92e-11	9606.ENSP00000188790,9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000233154,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000269571,9606.ENSP00000284240,9606.ENSP00000302234,9606.ENSP00000303208,9606.ENSP00000321326,9606.ENSP00000327290,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000366091,9606.ENSP00000378365,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000462468,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000499459	FAP,CSF3,CCL2,NCK2,GDF15,IL7,FCER2,ERBB2,THY1,CCL11,PCSK9,F2R,ITGA11,ICOSLG,SH2B3,CRKL,MOG,CCL26,NTF3,TGFA,RARRES2,PDGFC,ERBIN,IL32,YES1,FGF21,KITLG,ITGAM,IL19
GO:0005515	Protein binding	51	7242	0.3	0.49	2.41e-06	9606.ENSP00000188790,9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000233154,9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000265052,9606.ENSP00000267814,9606.ENSP00000269202,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000280362,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000302234,9606.ENSP00000303208,9606.ENSP00000303356,9606.ENSP00000308782,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000321326,9606.ENSP00000327290,9606.ENSP00000331201,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000362711,9606.ENSP00000366091,9606.ENSP00000378365,9606.ENSP00000378845,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000499459	FAP,CSF3,CCL2,NCK2,CD93,SNAP23,GDF15,IL7,FCER2,MGLL,SORD,MEP1B,ERBB2,NTRK2,PTS,THY1,KIT,STAT5B,CCL11,PCSK9,DCXR,GP6,BAIAP2,MET,HCLS1,F2R,ITGA11,HGS,GRAP2,ICOSLG,SH2B3,CRKL,TXLNA,MOG,CCL26,LAT,NTF3,DDC,TGFA,RARRES2,ROBO1,PDGFC,ERBIN,IL32,FKBP5,YES1,PAK4,FGF21,KITLG,ITGAM,IL19
GO:0030545	Signaling receptor regulator activity	14	552	0.85	0.95	1.54e-05	9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000302234,9606.ENSP00000303208,9606.ENSP00000378365,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000431775,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000499459	CSF3,CCL2,GDF15,IL7,CCL11,PCSK9,CCL26,NTF3,TGFA,PDGFC,IL32,FGF21,KITLG,IL19
GO:0048018	Receptor ligand activity	13	499	0.87	0.92	3.08e-05	9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000302234,9606.ENSP00000378365,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000431775,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000499459	CSF3,CCL2,GDF15,IL7,CCL11,CCL26,NTF3,TGFA,PDGFC,IL32,FGF21,KITLG,IL19
GO:0005125	Cytokine activity	9	234	1.03	0.94	0.00013	9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000302234,9606.ENSP00000378365,9606.ENSP00000431775,9606.ENSP00000495951,9606.ENSP00000499459	CSF3,CCL2,GDF15,IL7,CCL11,CCL26,IL32,KITLG,IL19
GO:0008083	Growth factor activity	8	162	1.14	1.0	0.00013	9606.ENSP00000225474,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000471477,9606.ENSP00000495951	CSF3,GDF15,IL7,NTF3,TGFA,PDGFC,FGF21,KITLG
GO:0098772	Molecular function regulator activity	22	1960	0.5	0.54	0.00043	9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000243924,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000284240,9606.ENSP00000297785,9606.ENSP00000302234,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000337675,9606.ENSP00000361761,9606.ENSP00000367001,9606.ENSP00000370115,9606.ENSP00000378365,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000431775,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000499459	CSF3,CCL2,PI3,GDF15,IL7,THY1,ALDH1A1,CCL11,PCSK9,BCR,EBAG9,WFDC2,DPP6,SERPINB1,CCL26,NTF3,TGFA,PDGFC,IL32,FGF21,KITLG,IL19
GO:0005126	Cytokine receptor binding	8	270	0.92	0.63	0.0034	9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000263851,9606.ENSP00000302234,9606.ENSP00000345492,9606.ENSP00000378365,9606.ENSP00000397297,9606.ENSP00000495951	CSF3,CCL2,IL7,CCL11,SH2B3,CCL26,NTF3,KITLG
GO:0005488	Binding	62	12838	0.13	0.29	0.0040	9606.ENSP00000013125,9606.ENSP00000188790,9606.ENSP00000219345,9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000233154,9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000264914,9606.ENSP00000265052,9606.ENSP00000267814,9606.ENSP00000269202,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000280362,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000297785,9606.ENSP00000302234,9606.ENSP00000302324,9606.ENSP00000303208,9606.ENSP00000303356,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000321326,9606.ENSP00000327290,9606.ENSP00000331201,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000356436,9606.ENSP00000362711,9606.ENSP00000366091,9606.ENSP00000378365,9606.ENSP00000378845,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000423602,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000483786,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000497720,9606.ENSP00000499459	MAP4K5,FAP,PLA2G15,CSF3,CCL2,NCK2,CD93,SNAP23,GDF15,IL7,FCER2,ARSB,MGLL,SORD,MEP1B,ERBB2,NTRK2,PTS,THY1,KIT,STAT5B,ALDH1A1,CCL11,RNASE3,PCSK9,DCXR,BCR,GP6,BAIAP2,MET,HCLS1,F2R,ITGA11,HGS,GRAP2,ICOSLG,SIGLEC1,SH2B3,CRKL,PLA2G4A,TXLNA,MOG,CCL26,LAT,NTF3,DDC,TGFA,RARRES2,ROBO1,PDGFC,DAPP1,ERBIN,IL32,FKBP5,YES1,PAK4,FGF21,HPCAL1,KITLG,ITGAM,MPIG6B,IL19
GO:0004713	Protein tyrosine kinase activity	6	146	1.06	0.59	0.0073	9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000288135,9606.ENSP00000303507,9606.ENSP00000317272,9606.ENSP00000462468	ERBB2,NTRK2,KIT,BCR,MET,YES1
