#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0030545	Signaling receptor regulator activity	17	552	1.08	1.51e-10	9606.ENSP00000002829,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000222390,9606.ENSP00000259206,9606.ENSP00000294312,9606.ENSP00000308716,9606.ENSP00000312652,9606.ENSP00000356694,9606.ENSP00000375616,9606.ENSP00000378118,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000471477,9606.ENSP00000499459	SEMA3F,OSM,OXT,HGF,IL1RN,FGF19,INHBC,LEP,FASLG,LILRB4,CCL8,NPY,IL6,ADM,PGF,FGF21,IL19
GO:0048018	Receptor ligand activity	16	499	1.09	2.77e-10	9606.ENSP00000002829,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000222390,9606.ENSP00000259206,9606.ENSP00000294312,9606.ENSP00000308716,9606.ENSP00000312652,9606.ENSP00000356694,9606.ENSP00000378118,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000471477,9606.ENSP00000499459	SEMA3F,OSM,OXT,HGF,IL1RN,FGF19,INHBC,LEP,FASLG,CCL8,NPY,IL6,ADM,PGF,FGF21,IL19
GO:0005102	Signaling receptor binding	23	1499	0.77	6.27e-10	9606.ENSP00000002829,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000221891,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000294312,9606.ENSP00000308716,9606.ENSP00000312652,9606.ENSP00000339477,9606.ENSP00000356694,9606.ENSP00000366091,9606.ENSP00000378118,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000414378,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000471477,9606.ENSP00000499459	SEMA3F,OSM,OXT,PLAT,APLP1,COMP,HGF,FABP4,IL1RN,FGF19,INHBC,LEP,ICOSLG,FASLG,MOG,CCL8,NPY,IL6,EFNA4,ADM,PGF,FGF21,IL19
GO:0005515	Protein binding	38	7242	0.31	4.78e-05	9606.ENSP00000002829,9606.ENSP00000162749,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000220809,9606.ENSP00000221891,9606.ENSP00000222271,9606.ENSP00000222390,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000275815,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000289746,9606.ENSP00000294312,9606.ENSP00000308716,9606.ENSP00000312652,9606.ENSP00000317272,9606.ENSP00000330393,9606.ENSP00000333769,9606.ENSP00000339477,9606.ENSP00000352071,9606.ENSP00000355995,9606.ENSP00000356694,9606.ENSP00000363869,9606.ENSP00000366091,9606.ENSP00000375616,9606.ENSP00000378118,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000387211,9606.ENSP00000414378,9606.ENSP00000420298,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000471477,9606.ENSP00000498879,9606.ENSP00000499459	SEMA3F,TNFRSF1A,OSM,OXT,PLAT,APLP1,COMP,HGF,FABP4,IL1RN,EPHA1,TNFRSF10B,KIT,CDH15,FGF19,INHBC,LEP,MET,LEPR,BSG,ICOSLG,CD163,HSD11B1,FASLG,VSIG4,MOG,LILRB4,CCL8,NPY,IL6,IL18R1,EFNA4,CD200,ADM,PGF,FGF21,CD59,IL19
GO:0098772	Molecular function regulator activity	19	1960	0.57	0.00016	9606.ENSP00000002829,9606.ENSP00000215781,9606.ENSP00000217386,9606.ENSP00000222390,9606.ENSP00000243924,9606.ENSP00000259206,9606.ENSP00000294312,9606.ENSP00000308716,9606.ENSP00000312652,9606.ENSP00000356694,9606.ENSP00000367001,9606.ENSP00000375616,9606.ENSP00000378118,9606.ENSP00000384364,9606.ENSP00000385675,9606.ENSP00000436607,9606.ENSP00000451040,9606.ENSP00000471477,9606.ENSP00000499459	SEMA3F,OSM,OXT,HGF,PI3,IL1RN,FGF19,INHBC,LEP,FASLG,DPP6,LILRB4,CCL8,NPY,IL6,ADM,PGF,FGF21,IL19
GO:0008083	Growth factor activity	7	162	1.22	0.00018	9606.ENSP00000215781,9606.ENSP00000222390,9606.ENSP00000294312,9606.ENSP00000308716,9606.ENSP00000385675,9606.ENSP00000451040,9606.ENSP00000471477	OSM,HGF,FGF19,INHBC,IL6,PGF,FGF21
GO:0019955	Cytokine binding	6	141	1.22	0.0013	9606.ENSP00000162749,9606.ENSP00000222271,9606.ENSP00000259206,9606.ENSP00000288135,9606.ENSP00000330393,9606.ENSP00000387211	TNFRSF1A,COMP,IL1RN,KIT,LEPR,IL18R1
GO:0005125	Cytokine activity	7	234	1.06	0.0015	9606.ENSP00000215781,9606.ENSP00000259206,9606.ENSP00000308716,9606.ENSP00000356694,9606.ENSP00000378118,9606.ENSP00000385675,9606.ENSP00000499459	OSM,IL1RN,INHBC,FASLG,CCL8,IL6,IL19
GO:0005126	Cytokine receptor binding	7	270	1.0	0.0033	9606.ENSP00000215781,9606.ENSP00000259206,9606.ENSP00000308716,9606.ENSP00000356694,9606.ENSP00000378118,9606.ENSP00000385675,9606.ENSP00000451040	OSM,IL1RN,INHBC,FASLG,CCL8,IL6,PGF
GO:0004888	Transmembrane signaling receptor activity	13	1268	0.6	0.0071	9606.ENSP00000162749,9606.ENSP00000275815,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000317272,9606.ENSP00000327824,9606.ENSP00000330393,9606.ENSP00000347714,9606.ENSP00000352288,9606.ENSP00000384364,9606.ENSP00000387211,9606.ENSP00000404236,9606.ENSP00000414378	TNFRSF1A,EPHA1,TNFRSF10B,KIT,MET,IFNLR1,LEPR,FCAR,PLXNB2,NPY,IL18R1,LILRA5,EFNA4
