#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0050896	Response to stimulus	59	7835	0.33	0.58	3.85e-10	9606.ENSP00000013125,9606.ENSP00000188790,9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000233154,9606.ENSP00000243924,9606.ENSP00000249647,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000264914,9606.ENSP00000265052,9606.ENSP00000265598,9606.ENSP00000266031,9606.ENSP00000267814,9606.ENSP00000269202,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000297785,9606.ENSP00000302234,9606.ENSP00000302324,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000321326,9606.ENSP00000327290,9606.ENSP00000331201,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000341141,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000356436,9606.ENSP00000361761,9606.ENSP00000366091,9606.ENSP00000378365,9606.ENSP00000378845,9606.ENSP00000397297,9606.ENSP00000403644,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000423602,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000497720,9606.ENSP00000499459	MAP4K5,FAP,CSF3,CCL2,NCK2,PI3,SNAP23,GDF15,IL7,ARSB,MGLL,LAMP3,HYAL1,SORD,MEP1B,ERBB2,NTRK2,THY1,KIT,STAT5B,ALDH1A1,CCL11,RNASE3,PCSK9,BCR,GP6,BAIAP2,MET,HCLS1,F2R,ITGA11,HGS,GRAP2,ICOSLG,SIGLEC1,SH2B3,CRKL,PLA2G4A,WFDC2,MOG,CCL26,LAT,NTF3,DDC,TGFA,RARRES2,ROBO1,PDGFC,DAPP1,ERBIN,IL32,FKBP5,YES1,PAK4,FGF21,KITLG,ITGAM,MPIG6B,IL19
GO:0007166	Cell surface receptor signaling pathway	32	2040	0.64	1.0	4.49e-10	9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000233154,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000302234,9606.ENSP00000308782,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000327290,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000366091,9606.ENSP00000378365,9606.ENSP00000378845,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000497720	CSF3,CCL2,NCK2,GDF15,IL7,ERBB2,NTRK2,THY1,KIT,STAT5B,CCL11,GP6,BAIAP2,MET,ITGA11,ICOSLG,SH2B3,CRKL,MOG,CCL26,LAT,NTF3,TGFA,RARRES2,ROBO1,PDGFC,ERBIN,YES1,FGF21,KITLG,ITGAM,MPIG6B
GO:0002376	Immune system process	32	2121	0.63	0.96	8.72e-10	9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000233154,9606.ENSP00000243924,9606.ENSP00000246006,9606.ENSP00000249647,9606.ENSP00000263851,9606.ENSP00000265598,9606.ENSP00000269571,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000302234,9606.ENSP00000302324,9606.ENSP00000303507,9606.ENSP00000320176,9606.ENSP00000321326,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000361761,9606.ENSP00000362711,9606.ENSP00000366091,9606.ENSP00000378365,9606.ENSP00000378845,9606.ENSP00000418009,9606.ENSP00000431775,9606.ENSP00000462468,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000497720,9606.ENSP00000499459	CSF3,CCL2,NCK2,PI3,CD93,SNAP23,IL7,LAMP3,ERBB2,THY1,KIT,STAT5B,CCL11,RNASE3,BCR,HCLS1,F2R,ICOSLG,SH2B3,CRKL,WFDC2,TXLNA,MOG,CCL26,LAT,RARRES2,IL32,YES1,KITLG,ITGAM,MPIG6B,IL19
GO:0007169	Transmembrane receptor protein tyrosine kinase signaling pathway	17	425	1.05	1.66	8.72e-10	9606.ENSP00000233154,9606.ENSP00000252809,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000471477	NCK2,GDF15,ERBB2,NTRK2,KIT,STAT5B,BAIAP2,MET,SH2B3,CRKL,NTF3,TGFA,RARRES2,PDGFC,ERBIN,YES1,FGF21
GO:0048584	Positive regulation of response to stimulus	32	2131	0.63	0.96	8.72e-10	9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000233154,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000302234,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000321326,9606.ENSP00000339477,9606.ENSP00000346300,9606.ENSP00000356436,9606.ENSP00000366091,9606.ENSP00000378365,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000499459	CSF3,CCL2,NCK2,GDF15,IL7,FCER2,ERBB2,NTRK2,THY1,KIT,STAT5B,CCL11,BAIAP2,MET,HCLS1,F2R,ICOSLG,CRKL,PLA2G4A,MOG,CCL26,NTF3,TGFA,RARRES2,ROBO1,PDGFC,ERBIN,YES1,FGF21,KITLG,ITGAM,IL19
GO:0048583	Regulation of response to stimulus	41	3931	0.47	0.72	4.54e-09	9606.ENSP00000188790,9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000233154,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000265052,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000302234,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000321326,9606.ENSP00000331201,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000356436,9606.ENSP00000366091,9606.ENSP00000378365,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000497720,9606.ENSP00000499459	FAP,CSF3,CCL2,NCK2,GDF15,IL7,FCER2,MGLL,ERBB2,NTRK2,THY1,KIT,STAT5B,CCL11,PCSK9,BCR,BAIAP2,MET,HCLS1,F2R,HGS,GRAP2,ICOSLG,SH2B3,CRKL,PLA2G4A,MOG,CCL26,NTF3,TGFA,RARRES2,ROBO1,PDGFC,ERBIN,YES1,PAK4,FGF21,KITLG,ITGAM,MPIG6B,IL19
GO:0007167	Enzyme-linked receptor protein signaling pathway	18	641	0.9	1.29	2.11e-08	9606.ENSP00000233154,9606.ENSP00000252809,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000308782,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000462468,9606.ENSP00000471477	NCK2,GDF15,ERBB2,NTRK2,KIT,STAT5B,GP6,BAIAP2,MET,SH2B3,CRKL,NTF3,TGFA,RARRES2,PDGFC,ERBIN,YES1,FGF21
GO:0043408	Regulation of MAPK cascade	18	668	0.88	1.25	3.59e-08	9606.ENSP00000225831,9606.ENSP00000252809,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000288135,9606.ENSP00000302234,9606.ENSP00000321326,9606.ENSP00000339186,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000378365,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000495951	CCL2,GDF15,ERBB2,NTRK2,KIT,CCL11,F2R,GRAP2,SH2B3,CRKL,CCL26,NTF3,TGFA,ROBO1,PDGFC,PAK4,FGF21,KITLG
GO:0065009	Regulation of molecular function	35	3085	0.5	0.74	4.36e-08	9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000233154,9606.ENSP00000243924,9606.ENSP00000263851,9606.ENSP00000264072,9606.ENSP00000265598,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000297785,9606.ENSP00000302234,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000321326,9606.ENSP00000331201,9606.ENSP00000337675,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000361761,9606.ENSP00000370115,9606.ENSP00000378365,9606.ENSP00000378845,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959	CSF3,CCL2,NCK2,PI3,IL7,FCER2,LAMP3,ERBB2,NTRK2,THY1,KIT,ALDH1A1,CCL11,PCSK9,BCR,MET,HCLS1,F2R,HGS,EBAG9,SH2B3,CRKL,WFDC2,SERPINB1,CCL26,LAT,NTF3,TGFA,ROBO1,PDGFC,ERBIN,IL32,FGF21,KITLG,ITGAM
GO:1902533	Positive regulation of intracellular signal transduction	21	997	0.77	1.09	4.36e-08	9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000233154,9606.ENSP00000252809,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000288135,9606.ENSP00000302234,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000321326,9606.ENSP00000346300,9606.ENSP00000378365,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000499459	CSF3,CCL2,NCK2,GDF15,ERBB2,NTRK2,KIT,CCL11,MET,HCLS1,F2R,CRKL,CCL26,NTF3,TGFA,ROBO1,PDGFC,ERBIN,FGF21,KITLG,IL19
GO:0051239	Regulation of multicellular organismal process	33	2749	0.53	0.77	4.47e-08	9606.ENSP00000188790,9606.ENSP00000225474,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000264914,9606.ENSP00000265052,9606.ENSP00000266031,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000297785,9606.ENSP00000302234,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000321326,9606.ENSP00000331201,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000366091,9606.ENSP00000370115,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000499459	FAP,CSF3,GDF15,IL7,ARSB,MGLL,HYAL1,ERBB2,NTRK2,THY1,KIT,STAT5B,ALDH1A1,CCL11,PCSK9,BCR,BAIAP2,MET,HCLS1,F2R,HGS,ICOSLG,SH2B3,MOG,SERPINB1,ROBO1,PDGFC,ERBIN,IL32,PAK4,FGF21,KITLG,IL19
GO:0001932	Regulation of protein phosphorylation	21	1108	0.73	0.99	1.94e-07	9606.ENSP00000225474,9606.ENSP00000233154,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000320176,9606.ENSP00000331201,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000378845,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000462468,9606.ENSP00000471477,9606.ENSP00000495951	CSF3,NCK2,GDF15,IL7,ERBB2,NTRK2,THY1,KIT,HCLS1,HGS,SH2B3,CRKL,LAT,NTF3,TGFA,RARRES2,ROBO1,PDGFC,YES1,FGF21,KITLG
GO:0007154	Cell communication	44	5165	0.38	0.59	1.94e-07	9606.ENSP00000013125,9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000233154,9606.ENSP00000249647,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000302234,9606.ENSP00000303208,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000321326,9606.ENSP00000327290,9606.ENSP00000331201,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000366091,9606.ENSP00000378365,9606.ENSP00000378845,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000423602,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000462468,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000497720,9606.ENSP00000499459	MAP4K5,CSF3,CCL2,NCK2,SNAP23,GDF15,IL7,ERBB2,NTRK2,THY1,KIT,STAT5B,CCL11,PCSK9,BCR,GP6,BAIAP2,MET,HCLS1,F2R,ITGA11,HGS,GRAP2,ICOSLG,SH2B3,CRKL,MOG,CCL26,LAT,NTF3,TGFA,RARRES2,ROBO1,PDGFC,DAPP1,ERBIN,IL32,YES1,PAK4,FGF21,KITLG,ITGAM,MPIG6B,IL19
GO:0007165	Signal transduction	42	4714	0.4	0.61	1.94e-07	9606.ENSP00000013125,9606.ENSP00000225474,9606.ENSP00000225831,9606.ENSP00000233154,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000293328,9606.ENSP00000302234,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000316338,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000321326,9606.ENSP00000327290,9606.ENSP00000331201,9606.ENSP00000339186,9606.ENSP00000339477,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000366091,9606.ENSP00000378365,9606.ENSP00000378845,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000423602,9606.ENSP00000426632,9606.ENSP00000431775,9606.ENSP00000462468,9606.ENSP00000469413,9606.ENSP00000471477,9606.ENSP00000495951,9606.ENSP00000496959,9606.ENSP00000497720,9606.ENSP00000499459	MAP4K5,CSF3,CCL2,NCK2,GDF15,IL7,ERBB2,NTRK2,THY1,KIT,STAT5B,CCL11,BCR,GP6,BAIAP2,MET,HCLS1,F2R,ITGA11,HGS,GRAP2,ICOSLG,SH2B3,CRKL,MOG,CCL26,LAT,NTF3,TGFA,RARRES2,ROBO1,PDGFC,DAPP1,ERBIN,IL32,YES1,PAK4,FGF21,KITLG,ITGAM,MPIG6B,IL19
GO:0043410	Positive regulation of MAPK cascade	15	481	0.94	1.26	1.94e-07	9606.ENSP00000225831,9606.ENSP00000252809,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000288135,9606.ENSP00000302234,9606.ENSP00000321326,9606.ENSP00000346300,9606.ENSP00000378365,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000471477,9606.ENSP00000495951	CCL2,GDF15,ERBB2,NTRK2,KIT,CCL11,F2R,CRKL,CCL26,NTF3,TGFA,ROBO1,PDGFC,FGF21,KITLG
GO:0050730	Regulation of peptidyl-tyrosine phosphorylation	12	259	1.12	1.46	1.94e-07	9606.ENSP00000225474,9606.ENSP00000233154,9606.ENSP00000263851,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000320176,9606.ENSP00000345492,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000462468,9606.ENSP00000495951	CSF3,NCK2,IL7,THY1,KIT,HCLS1,SH2B3,NTF3,TGFA,PDGFC,YES1,KITLG
GO:0042325	Regulation of phosphorylation	22	1251	0.69	0.94	2.08e-07	9606.ENSP00000225474,9606.ENSP00000233154,9606.ENSP00000252809,9606.ENSP00000263851,9606.ENSP00000269571,9606.ENSP00000277120,9606.ENSP00000284240,9606.ENSP00000288135,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000331201,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000378845,9606.ENSP00000397297,9606.ENSP00000404131,9606.ENSP00000418009,9606.ENSP00000420321,9606.ENSP00000422464,9606.ENSP00000462468,9606.ENSP00000471477,9606.ENSP00000495951	CSF3,NCK2,GDF15,IL7,ERBB2,NTRK2,THY1,KIT,MET,HCLS1,HGS,SH2B3,CRKL,LAT,NTF3,TGFA,RARRES2,ROBO1,PDGFC,YES1,FGF21,KITLG
